participantID,pNew,pOld,boxesFlipped,absColorDiff,blueFlipped,yellowFlipped,accuracy,discriminationError,boardDifficulty,trialRT,masterTrialID,conditionTrialID,condition,colorSequence,gender,age,education
70,0.99965002,0.975479126,8,8,8,0,1,0,3,6744.8,2,1,low,"[2,2,2,2,2,2,2,2]",1,23,7
70,0.951578947,0.833847046,8,4,2,6,1,0,4,8093.7,4,2,low,"[1,1,1,1,1,2,2,1]",1,23,7
70,1,1,19,7,13,6,1,0,7,18209.8,8,3,low,"[2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1]",1,23,7
70,0.994416476,0.98046875,16,6,5,11,1,0,8,11782.6,10,4,low,"[1,2,2,1,1,2,1,2,1,1,1,1,2,1,1,1]",1,23,7
70,0.998196258,0.989257813,15,7,4,11,1,0,101,8438.3,12,5,low,"[2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2]",1,23,7
70,0.984897025,0.96484375,17,5,11,6,1,0,9,10334.6,13,6,low,"[1,1,1,2,2,1,1,1,2,1,1,1,2,1,1]",1,23,7
70,0.994416476,0.98046875,16,6,5,11,1,0,6,8202.1,21,7,low,"[1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2]",1,23,7
66,1,1,21,9,15,6,1,0,9,13565.4,6,1,low,"[2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2]",1,35,7
66,0.999398689,0.988769531,12,8,10,2,1,0,7,12865.9,7,2,low,"[2,1,1,2,2,2,2,2,2,2,2,2]",1,35,7
66,0.99989366,0.996826172,13,9,2,11,1,0,6,12979.3,8,3,low,"[1,1,2,1,1,1,1,1,1,2,1,1,1]",1,35,7
66,0.999771167,0.998046875,16,8,12,4,1,0,3,11834,9,4,low,"[2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2]",1,35,7
66,0.999989904,0.999511719,14,10,2,12,1,0,4,9678.1,11,5,low,"[2,2,1,1,1,1,1,1,1,1,1,1,1,1]",1,35,7
66,0.998196258,0.989257813,15,7,4,11,1,0,8,9799.2,14,6,low,"[1,1,1,1,1,1,1,2,2,1,1,2,1,2,1]",1,35,7
86,0.994416476,0.98046875,16,6,5,11,1,0,101,8928.9,3,1,low,"[2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1]",2,24,7
86,0.99989366,0.996826172,13,9,11,2,1,0,7,7424.4,4,2,low,"[2,1,1,2,2,2,2,2,2,2,2,2,2]",2,24,7
86,1,1,20,6,13,7,1,0,9,13257.4,9,3,low,"[2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1]",2,24,7
86,0.998196258,0.989257813,15,7,4,11,1,0,4,8335.6,13,4,low,"[2,1,1,1,1,1,1,2,2,2,1,1,1,1,1]",2,24,7
86,0.999398689,0.988769531,12,8,10,2,1,0,3,5450.2,14,5,low,"[2,2,2,2,2,1,1,2,2,2,2,2]",2,24,7
86,0.999176201,0.99609375,17,7,5,12,1,0,8,8887.7,18,6,low,"[1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1]",2,24,7
86,1,1,20,8,6,14,1,0,6,7472.1,21,7,low,"[1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1]",2,24,7
90,1,1,18,10,14,4,1,0,7,13858,4,1,low,"[2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2]",2,23,4
90,0.976410015,0.927001953,13,5,4,9,1,0,101,10996.5,6,2,low,"[1,1,1,2,1,2,1,2,1,2,1,1,1]",2,23,4
90,1,1,17,9,13,4,1,0,3,10136.3,8,3,low,"[2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2]",2,23,4
90,0.997391304,0.9921875,18,6,12,6,1,0,9,11623.2,9,4,low,"[1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2]",2,23,4
90,1,1,19,7,6,13,1,0,6,12876.5,10,5,low,"[1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2]",2,23,4
90,0.999989904,0.999511719,14,10,2,12,1,0,4,8813.1,12,6,low,"[1,1,2,1,1,1,1,1,1,1,1,2,1,1]",2,23,4
90,1,1,17,9,4,13,1,0,8,10194.2,20,7,low,"[1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1]",2,23,4
73,0.886902679,0.772750854,9,3,6,3,1,0,9,14434.6,1,1,low,"[2,2,1,2,1,2,1,2,2]",2,23,6
73,0.998196258,0.989257813,15,7,4,11,1,0,4,14241.6,4,2,low,"[2,1,1,1,1,2,2,1,2,1,1,1,1,1,1]",2,23,6
73,0.998196258,0.989257813,15,7,11,4,1,0,7,8763.5,8,3,low,"[2,2,2,2,2,2,1,2,2,1,2,1,1,2,2]",2,23,6
73,0.999946157,0.999023438,15,9,12,3,1,0,3,14775,9,4,low,"[2,2,2,2,1,2,2,2,2,1,2,2,1,2,2]",2,23,6
73,0.99989366,0.996826172,13,9,2,11,1,0,8,7508.9,10,5,low,"[1,2,1,1,1,2,1,1,1,1,1,1,1]",2,23,6
73,0.997583793,0.980712891,13,7,3,10,1,0,101,6619,19,6,low,"[2,1,1,1,1,1,1,2,1,1,2,1,1]",2,23,6
73,1,1,19,9,5,14,1,0,6,10588.2,21,7,low,"[1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2]",2,23,6
64,0.997391304,0.9921875,18,6,12,6,1,0,9,21562.4,4,1,low,"[2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,2,2]",1,24,7
64,1,1,20,12,16,4,1,0,3,8848.2,6,2,low,"[2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2]",1,24,7
64,0.999946157,0.999023438,15,9,3,12,1,0,6,13305,8,3,low,"[1,1,1,2,1,1,2,1,1,1,1,1,1,2,1]",1,24,7
64,1,1,18,8,5,13,1,0,4,12557.7,11,4,low,"[2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1]",1,24,7
64,0.979297348,0.9453125,15,5,5,10,1,0,101,8676.2,15,5,low,"[2,2,1,1,1,1,1,2,1,1,1,1,1,2,2]",1,24,7
64,0.979297348,0.9453125,15,5,5,10,1,0,8,11379.3,16,6,low,"[1,2,1,1,1,1,2,2,1,1,1,1,2,1,2]",1,24,7
64,0.998196258,0.989257813,15,7,11,4,1,0,7,13759.3,21,7,low,"[2,2,1,2,2,1,1,2,2,2,1,2,2,2,2]",1,24,7
100,1,1,19,7,6,13,1,0,6,17948.7,3,1,low,"[1,1,2,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1]",2,22,7
100,1,1,21,7,7,14,1,0,101,41059.9,5,2,low,"[2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1]",2,22,7
100,1,1,17,13,15,2,1,0,3,22800.2,7,3,low,"[2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2]",2,22,7
100,1,1,19,7,13,6,1,0,7,43376.8,8,4,low,"[2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1]",2,22,7
100,1,1,20,6,13,7,1,0,9,54107.4,9,5,low,"[1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2]",2,22,7
100,1,1,17,11,3,14,1,0,4,14288.9,14,6,low,"[1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1]",2,22,7
100,1,1,21,5,8,13,1,0,8,32409.8,17,7,low,"[2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1]",2,22,7
60,0.984897025,0.927001953,13,5,9,4,1,0,3,7917.3,4,1,low,"[2,2,2,1,2,1,1,2,2,2,1,2,2]",2,23,7
60,0.976410015,0.96484375,17,5,6,11,1,0,8,9909.3,5,2,low,"[2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1]",2,23,7
60,1,1,21,7,7,14,1,0,101,9430.9,6,3,low,"[1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2]",2,23,7
60,0.99989366,0.996826172,13,9,2,11,1,0,4,7200.2,8,4,low,"[1,2,1,1,1,1,1,1,1,1,1,1,2]",2,23,7
60,0.999946157,0.999023438,15,9,3,12,1,0,6,8506.4,14,5,low,"[1,1,1,1,1,1,1,2,2,2,1,1,1,1,1]",2,23,7
60,0.979297348,0.9453125,15,5,10,5,1,0,9,7177.9,17,6,low,"[2,1,2,2,1,1,2,2,2,2,2,2,1,1,2]",2,23,7
60,0.999946157,0.999023438,15,9,12,3,1,0,7,6919.2,18,7,low,"[1,2,1,2,2,2,1,2,2,2,2,2,2,2,2]",2,23,7
93,1,1,19,9,5,14,1,0,4,8959.8,4,1,low,"[2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1]",2,24,7
93,0.999176201,0.99609375,17,7,12,5,1,0,3,7678.2,5,2,low,"[2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1]",2,24,7
93,1,1,20,8,6,14,1,0,6,10359.6,11,3,low,"[2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1]",2,24,7
