participantID,pNew_high,boxesFlipped_high,absColorDiff_high,accuracy_high,trialRT_high,pNew_medium,boxesFlipped_medium,absColorDiff_medium,accuracy_medium,trialRT_medium,pNew_low,boxesFlipped_low,absColorDiff_low,accuracy_low,trialRT_low,gender,age,education
3,0.942842858,8.142857142857142,3.857142857142857,1,27477.571428571428,0.9687035364285714,7.428571428571429,4.285714285714286,1,11142.728571428572,0.9738833747142858,11.571428571428571,5,1,8560.542857142857,2,32,7
6,0.804170364,3.142857142857143,1.7142857142857142,1,11440.014285714286,0.895962733,4.142857142857143,2.7142857142857144,1,6929.142857142857,0.837657498,4.285714285714286,2.2857142857142856,1,4066.7999999999997,2,26,6
8,0.9893391177142857,15.142857142857142,6.857142857142857,1,52138.77142857143,0.9927771472857143,17.428571428571427,6.571428571428571,1,20409.6,0.9984466280000001,16.285714285714285,8,1,8162.528571428572,2,27,6
9,0.9160712018571429,7.142857142857143,3.7142857142857144,1,31243.842857142856,0.8486350787142857,7.857142857142857,2.7142857142857144,1,18444.428571428572,0.9591669161428571,7.714285714285714,4.571428571428571,1,11882.57142857143,2,32,6
13,0.8708891795714285,4.571428571428571,2.5714285714285716,1,15092.7,0.828318229,6,2.5714285714285716,1,9454.114285714286,0.9288229388571428,9.857142857142858,4.428571428571429,1,6519.614285714286,2,27,7
14,0.8872492795714285,7.428571428571429,3.4285714285714284,1,25615.114285714288,0.9579339652857143,8,4.571428571428571,1,11216.257142857143,0.9774130201428571,7.714285714285714,5.142857142857143,1,6382.0142857142855,1,25,7
16,0.8625451828571429,6.285714285714286,2.857142857142857,0.8571428571428571,25975.685714285715,0.8466123381428571,5.714285714285714,2.5714285714285716,0.7142857142857143,12975.742857142857,0.8833204127142857,6.571428571428571,3.142857142857143,1,15860.5,2,29,7
17,0.9815947155714285,14.428571428571429,6.714285714285714,1,45870.08571428571,0.9991188968571428,16.142857142857142,7.857142857142857,1,18763,0.9997940502857143,16,8.857142857142858,1,10498.642857142857,2,29,4
23,0.9273866342857143,5.714285714285714,3.7142857142857144,0.8571428571428571,19305.2,0.8783883621428571,6.142857142857143,3,1,9701.457142857143,0.9239937531428571,7,3.5714285714285716,1,6143.657142857143,2,25,6
27,0.94315534,10,4,1,28472.485714285714,0.9755863122857144,11.142857142857142,5.142857142857143,1,13203.785714285716,0.996208543,15.857142857142858,7.285714285714286,1,7397.057142857143,1,25,7
28,0.9093556965714286,6.714285714285714,3.2857142857142856,1,24242.871428571427,0.9171606034285714,5.285714285714286,3.2857142857142856,1,9102.485714285714,0.9326584455714286,6,3.4285714285714284,1,7669.671428571429,2,23,7
29,0.9156031658571429,9.714285714285714,4.285714285714286,1,30829.185714285715,0.9915853892857143,10,6,1,12462.92857142857,0.893826043,10.571428571428571,4.571428571428571,1,7221.042857142857,1,23,6
30,0.9617683595714286,12.142857142857142,6.142857142857143,1,31801.742857142857,0.9793207534285714,12.714285714285714,5.857142857142857,1,14585.028571428571,0.9942307861428571,14.571428571428571,6.571428571428571,1,7821.4857142857145,1,23,7
31,0.8881338714285715,8.571428571428571,3.7142857142857144,1,32781.94285714286,0.9461289047142857,12.142857142857142,5.285714285714286,1,22178.514285714286,0.9970097878571429,17.714285714285715,7.428571428571429,1,10248.085714285713,2,24,7
32,1,17.714285714285715,8.285714285714286,1,54356.72857142857,1,17.857142857142858,8.142857142857142,1,22500.371428571427,1,19.428571428571427,8.857142857142858,1,11085.914285714285,2,24,7
33,0.866424602,5.571428571428571,2.7142857142857144,1,23321.257142857143,0.8939537002857143,6.714285714285714,3,1,11633.885714285714,0.8354594102857142,6.857142857142857,2.857142857142857,0.5714285714285714,7052.771428571428,2,22,7
34,0.9312449832857143,6.571428571428571,3.4285714285714284,1,20251.114285714284,0.9595652997142857,9.571428571428571,4.428571428571429,1,13681.957142857143,0.9981009750000001,20.142857142857142,9,1,8752.242857142857,2,22,7
36,0.9048409845714286,5.285714285714286,3.2857142857142856,0.8571428571428571,17084.14285714286,0.9210521647142857,5.714285714285714,3.4285714285714284,1,10767.528571428571,0.8177941657142858,7.857142857142857,2.4285714285714284,1,10283.971428571429,2,22,6
37,0.8644720498571429,3.4285714285714284,2.2857142857142856,1,16033.7,0.8123336292857143,3.2857142857142856,1.8571428571428572,0.8571428571428571,8660.985714285714,0.8373646851428571,3.857142857142857,2.142857142857143,0.7142857142857143,5492.942857142857,2,22,7
39,1,17.285714285714285,8.714285714285714,1,53208.72857142857,1,17.428571428571427,8.571428571428571,1,25610.52857142857,1,18.285714285714285,8.285714285714286,1,11437.714285714286,2,24,7
40,0.9591851294285715,9.714285714285714,4.571428571428571,1,39924.04285714286,0.984898124,11.428571428571429,5.714285714285714,1,19918.67142857143,0.9851759925714286,16.428571428571427,7.857142857142857,1,11195.8,2,25,7
43,0.8512802558571428,8.857142857142858,4.285714285714286,1,26158.542857142857,0.8666687087142857,10.428571428571429,5.285714285714286,0.8571428571428571,14064.642857142857,0.91750649,15.428571428571429,6.285714285714286,1,8303.571428571428,2,25,7
44,0.9992023537142857,17.285714285714285,8.142857142857142,1,43730.05714285714,0.999624637,17.285714285714285,7.857142857142857,1,18807.185714285715,1,19.142857142857142,8.571428571428571,1,10695.585714285713,1,28,6
47,1,18.285714285714285,7.714285714285714,1,60548.08571428571,1,17.857142857142858,9,1,25826.742857142857,1,18.428571428571427,8.428571428571429,1,10155.571428571428,2,22,7
