"V1" "V2" "V3"
"1" 283.748425597445 1.52344227372669 3
"2" 327.780214769445 1.89236097293906 6
"3" 283.338059287596 1.30046420893632 8
"4" 302.083445192623 1.39836837234907 9
"5" 284.701564318489 1.47442689351737 13
"6" 265.981943000123 1.79399373498745 14
"7" 257.697520894483 1.92630452685989 16
"8" 301.499812123254 1.16770031955093 17
"9" 275.04139761758 1.58653410570696 23
"10" 270.86065974717 1.00522357178852 27
"11" 291.066645865546 1.45741664269008 28
"12" 267.914377865329 1.36251191888005 29
"13" 266.772744484038 1.92911238805391 30
"14" 293.832372751769 1.40623337589204 32
"15" 301.114038108052 1.6972065619193 33
"16" 268.74895013083 1.2052759216167 34
"17" 305.579075613839 1.24997866316698 36
"18" 279.961736134729 1.38093253062107 37
"19" 284.961901559512 1.70321407727897 39
"20" 261.32537250549 1.83320383098908 40
"21" 326.81518620847 1.93636949453503 43
"22" 278.127097513665 1.21524270554073 44
"23" 283.786134741935 1.03663803893141 47
"24" 284.743649097836 1.69426826504059 48
"25" 269.603754183876 1.43262997968122 51
"26" 256.584540291014 1.88687999011017 54
"27" 255.61664935962 1.35369774349965 55
"28" 290.121916169644 1.9751235737931 56
"29" 267.878529607483 1.13128111604601 58
"30" 303.511521590857 1.23078383901156 60
"31" 279.716992584353 1.49922590493225 61
"32" 324.6068110284 1.91518524801359 62
"33" 284.630343614032 1.09282310283743 63
"34" 280.848131519222 1.07309273979627 64
"35" 290.362820582219 1.64524881518446 65
"36" 262.071564804626 1.11009089765139 66
"37" 217.436780474339 1.77951412601396 67
"38" 258.474536349515 1.24090726790018 68
"39" 276.71088524028 1.99923588265665 70
"40" 262.920845574765 1.94756098953076 71
"41" 275.239598185447 1.24176131282002 73
"42" 295.419138684469 1.12550885370001 76
"43" 267.220040305518 1.61689746053889 79
"44" 254.947659895005 1.7100447320845 80
"45" 263.147211632972 1.80961642996408 83
"46" 331.550768589896 1.4079963315744 86
"47" 283.679030526655 1.14672251162119 87
"48" 313.20527822251 1.57171625015326 88
"49" 278.832335320133 1.64703896641731 90
"50" 277.032236559354 1.7949111755006 91
"51" 251.035736464495 1.91759805823676 93
"52" 271.566039246421 1.27063907496631 95
"53" 268.709837935164 1.78725993703119 96
"54" 288.877868695997 1.35630353819579 97
"55" 268.550874276358 1.84515082766302 98
"56" 285.212803025272 1.99694937071763 100
"57" 258.098027006149 1.20782355894335 104
"58" 305.452222898352 1.93463776260614 107
"59" 271.699314588482 1.52543855761178 111
"60" 317.089113653418 1.17266662442125 114
"61" 171.790626245177 1.19135866733268 115
"62" 272.545367155084 1.83776481845416 117
"63" 256.403748728445 1.89836403424852 118
"64" 292.931810460567 1.08512081205845 120
"65" 345.675934535899 1.38946717209183 124
"66" 302.322961358094 1.04644144419581 128
"67" 290.165565051787 1.76332441112027 130
"68" 281.190756639268 1.92878887359984 131
