"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 193.90584566456 22.6259139701414 5.5301937357441 34.1420470947975 130.623492798766 0.01 0.01 3
"2" 160.152810076196 49.3835769346177 14.5597953112697 29.2274276790021 83.7408831046247 0.01 0.214234540418597 6
"3" 165.754077993363 36.4592874285907 5.17948484901616 9.32181311620474 101.984087611481 0.320812965746441 0.155884931801567 8
"4" 201.606134922338 21.7445342615813 4.11684675921374 10.5176214153982 106.695757317929 0.0972275445820266 0.199361835699529 9
"5" 182.270824861959 40.1746481282039 4.76057018541317 84.9795261530028 106.765036358283 0.01 0.01 13
"6" 126.763728576558 100 22.2323289336921 393.341697331814 188.580809274731 0.01 0.0663786671770129 14
"7" 159.710416559661 37.559479913377 9.45572057874193 141.100788055989 130.265181036129 0.01 0.01 16
"8" 159.101579769526 55.0765395128549 5.20816446626443 70.2630786211549 1 0.471776265684259 0.01 17
"9" 126.85226574124 100 8.00349751321709 424.887169062165 28.3121541243539 0.01 0.01 23
"10" 188.886470540001 12.881738162531 9.76681961108957 57.3545807003432 157.241854212633 0.01 0.0364709668574788 27
"11" 199.964728064901 14.5842639189227 5.65491999469631 19.6589901672843 133.417428683144 0.0418707668690327 0.155128706374456 28
"12" 202.009701157357 20.3663893202121 3.45679629256491 67.4054133909926 7.14931084404321 0.181826800060965 0.0366836606527201 29
"13" 208.076228201541 6.91802878460737 6.70466859597992 29.7785350176772 64.2389122163007 0.0376768117619396 0.0939338136510699 30
"14" 163.511715282255 60.1779049103684 9.0147387104071 27.6434971367762 200.619461297106 0.01 0.01 32
"15" 167.231373971543 66.7372488185124 8.69452335756263 46.6001744796967 79.8512518610711 0.01 0.01 33
"16" 234.54829339756 7.99408887270068 2.13883506667584 25.2419642718612 38.4273253853842 0.01 0.01 34
"17" 171.930152310386 24.183241168694 8.02655477572407 39.6164421252697 32.2067600769704 0.168670364288017 0.516540770116787 36
"18" 164.712744526256 38.6837992828444 16.7646533391714 109.890947358381 147.843956578416 0.01 0.164121118200267 37
"19" 96.2112519765112 100 12.3021971479318 141.204201789685 489.810543893249 0.01 0.01 39
"20" 179.962872122669 19.3896293465304 6.81338683314568 109.132206757609 116.458613909082 0.01 0.01 40
"21" 156.865021949034 26.4930001256826 5.47232298219536 34.0018449998425 75.9754682322094 0.66678339460559 0.35236263593579 43
"22" 182.844901322224 12.1974607991219 4.06052264942449 21.8547207853616 140.152657263872 0.102049920195517 0.385740931009018 44
"23" 118.413171807076 100 9.29014827706817 187.933773564746 134.804656924245 0.01 0.01 47
"24" 216.325619173115 3.89103148253277 4.54566635360849 16.5667913370164 76.0156073280051 0.181058289478206 0.158240363864904 48
"25" 133.735822775953 84.9233344357978 14.6070979158909 283.394917644392 237.505221737669 0.01 0.01 51
"26" 205.855549296036 12.7262670160143 3.16910489979578 53.4805467787077 55.8418534624837 0.0336333856414759 0.146791664432261 54
"27" 104.067972805806 87.5303933268168 32.3612415444364 368.322381430236 478.076087708137 0.01 0.01 55
"28" 217.942869227585 18.7037366410562 3.77979830090583 26.152442463399 55.1250704251007 0.01 0.0621008660564014 56
"29" 184.692040584564 16.5187889106365 6.92246065258528 75.5755798050121 164.257775929603 0.01 0.01 58
"30" 228.655838613606 18.6614796310868 2.78404641962536 20.079035246888 40.8670081698419 0.01 0.160355549741561 60
"31" 201.778214542087 23.2657861391047 3.15992536400304 35.0819858182259 92.5525170484908 0.01 0.01 61
"32" 131.545380568251 100 10.6593580812552 13.5828958614333 102.548840504641 0.509209088530425 0.290588132627337 62
"33" 185.606245318837 50.0773006944823 5.17328863919561 83.2005828653542 62.4130701859122 0.01 0.11839511459927 63
"34" 222.05674225321 12.3756180843917 2.28520719083799 83.6053356334532 45.3093483417929 0.01 0.01 64
"35" 209.139892585225 19.3287168811409 3.76867532809341 14.1844862527459 93.2572986758868 0.01 0.01 65
"36" 142.401706327448 56.1502235772719 16.7744705339961 166.100332112955 202.425092043163 0.01 0.01 66
"37" 116.608971761485 52.0915781572617 18.5466459667985 1 218.639932854979 0.01 0.104600409150503 67
"38" 145.342196390186 42.5081289989202 17.2140347475872 166.537694048407 219.131907468591 0.01 0.01 68
"39" 193.808001369461 22.5526209086917 8.08656925545216 47.4323192107724 58.6934363194784 0.01 0.12991058417708 70
"40" 162.917990186027 15.3914268477895 14.846109307804 22.7880438474364 171.165610909064 0.01 0.161535034856535 71
"41" 196.241893019943 27.8689340605147 4.48035194081973 65.3549816999102 73.4956630832027 0.01 0.01 73
"42" 170.451184330406 53.5107588438591 8.13427190900595 33.3195704692874 147.905028930873 0.01 0.118432571089043 76
"43" 98.3164970348503 66.5807261043857 17.0250230586332 297.925117599258 500 0.01 0.01 79
"44" 144.954817927297 48.8232640935271 13.2087596757912 238.509748499601 131.432082396397 0.01 0.01 80
"45" 154.994354385029 53.0380174335019 11.074783436057 211.838163611925 71.5510080486874 0.01 0.01 83
"46" 86.2483017406333 100 10.592033767655 198.655062696251 1 0.99 0.19266607130728 86
"47" 202.45122044636 28.0259946599518 3.64796251494586 48.7161756434404 73.4378813289151 0.01 0.01 87
"48" 152.052452053088 32.3675333090754 4.74615316822552 50.058948484433 44.2515473663417 0.432613963748249 0.652369670863216 88
"49" 182.527682993778 24.3148913816197 6.56138895587017 10.3085256334583 104.534175790712 0.0524770973009515 0.203822100876868 90
"50" 163.198468612907 29.3623937929921 16.1478741953537 63.692560425013 173.263537375718 0.01 0.0940123904280461 91
"51" 195.642250968916 9.75601126919101 1.78240296967566 44.4385000262398 79.1815621709057 0.01 0.01 93
