"V1" "V2" "V3"
"1" 276.745543212951 1.67327542631206 3
"2" 220.063410112578 8.84849630772822 6
"3" 263.450588441592 2.65108249285712 8
"4" 293.643745873525 1.8109827234263 9
"5" 282.618596506622 1.32591436500473 13
"6" 248.647523354872 2.46018998858247 14
"7" 248.691351127522 1.88410485647592 16
"8" 250.081640761138 5.18365441037286 17
"9" 274.895757014178 0.924406120947618 23
"10" 258.594461575252 2.07408845307139 27
"11" 282.662614732871 1.85008925060602 28
"12" 248.5222885608 2.59083020238181 29
"13" 243.257748946321 2.71416217231667 30
"14" 279.450409409711 2.22708520940783 32
"15" 252.024014365111 4.69850583592572 33
"16" 266.321214737495 1.36211998457525 34
"17" 206.254374347992 9.44341240968225 36
"18" 238.376191370448 3.92700583545219 37
"19" 284.549711422843 1.13559478055351 39
"20" 256.508780698024 1.56674987814341 40
"21" 282.636294735653 4.33058299215727 43
"22" 273.811673064915 1.54028844479006 44
"23" 276.791093447807 1.73027678252221 47
"24" 273.374287552319 1.98649260564904 48
"25" 265.373716829645 1.5135144007195 51
"26" 252.803924692959 1.54963864515586 54
"27" 243.975704800014 1.9802565966989 55
"28" 273.656830509268 2.32850096535551 56
"29" 265.333760345266 1.36075804788853 58
"30" 282.754286249975 2.70066334824129 60
"31" 278.078168467006 1.30212220383304 61
"32" 244.760629311857 8.00897636494242 62
"33" 272.194420889063 2.06543070660043 63
"34" 278.919607251553 0.756373868558976 64
"35" 282.865389200949 1.76173943273098 65
"36" 241.488271130083 2.62827165521278 66
"37" 184.348154576787 4.2019068285875 67
"38" 244.717531756978 2.21067807227261 68
"39" 233.966087795989 4.43151529304481 70
"40" 231.075400550568 3.24730972726703 71
"41" 268.408293692228 1.70995316900374 73
"42" 272.912552528146 2.66288156889609 76
"43" 267.189181566504 1.03570497572413 79
"44" 246.248903919884 1.817932999771 80
"45" 249.695832075292 2.15402465018991 83
"46" 279.801357074483 5.11340359999373 86
"47" 279.086603757323 1.53195797016246 87
"48" 234.582888221732 8.42334463992121 88
"49" 254.418296298054 3.14628429315594 90
"50" 242.404572783185 3.65645137000134 91
"51" 246.276883358214 0.64257798550744 93
"52" 269.939633904968 1.272544757375 95
"53" 268.526222537612 1.08726348251759 96
"54" 281.363882156652 1.71553799021809 97
"55" 268.524532375319 1.03316134767495 98
"56" 283.165082225672 1.34166975093414 100
"57" 253.931920260891 1.56833152871766 104
"58" 231.097438155681 7.03692338637416 107
"59" 208.231576801318 5.97652029547376 111
"60" 163.97299464288 24.3043474315672 114
"61" 146.09261171041 4.94554267397396 115
"62" 265.763891116497 1.73364617819279 117
"63" 254.214831579757 1.35049122462468 118
"64" 253.645773540169 3.89666670777388 120
"65" 301.223153131079 4.15331250747036 124
"66" 243.305957046505 6.13962926362907 128
"67" 283.33379426631 1.68840159624392 130
"68" 265.867554316891 2.22832334470417 131
