"V1" "V2" "V3"
"1" 181.465000803149 1.62818423682399 1
"2" 203.657307861968 2.12672701112348 2
"3" 177.589465511069 7.36158699565442 3
"4" 216.317776850887 1.55671738435634 5
"5" 165.643677997314 6.30846120769598 6
"6" 203.223645535757 1.27239337413589 7
"7" 183.608378368512 2.71470969625753 9
"8" 171.167189855561 2.44942862343127 10
"9" 182.99241331522 3.59263458676101 12
"10" 160.089651337904 2.19360510938607 13
"11" 189.064545800745 3.25712922442054 14
"12" 191.518931642087 5.37406309285341 15
"13" 203.137787774646 0.601067302904745 17
"14" 189.422781100792 3.44577001730962 18
"15" 168.540273847819 4.01682580290254 19
"16" 196.665184797002 2.7732687941338 20
"17" 213.558819869045 2.49782832116508 23
"18" 166.20027332639 2.04617289864032 24
"19" 206.518505988108 1.89284538325729 25
"20" 192.35431947345 3.00455178632319 26
"21" 169.037706820394 2.67752338074085 27
"22" 171.923133625502 4.01626556302907 30
"23" 167.312295898155 6.54031806825654 33
"24" 169.744601529433 1.44393123862019 35
"25" 177.600893440035 3.49710091727827 36
"26" 161.415229042251 9.27321539281701 38
"27" 201.358161369435 0.436888426463313 40
"28" 216.406417792281 1.97763470648519 42
"29" 205.09795604296 2.71518182848069 43
"30" 184.72122163501 2.13086571849197 44
"31" 196.799344695497 2.08397845875948 45
"32" 200.927995479999 3.61316274839753 47
"33" 177.192414336539 7.74183522217611 48
"34" 206.462132155009 1.56062765403684 49
"35" 161.874094249431 5.27289795862946 50
"36" 170.341543778984 2.53117870634197 51
"37" 221.730798522175 1.15277204128344 52
"38" 189.505632581142 1.63632232097762 53
"39" 182.668189720267 2.31306679094714 54
"40" 226.483607633327 1.78750526963148 56
"41" 186.640642794397 3.15464943844767 57
"42" 195.918136241479 3.68046981997845 58
"43" 201.081585961816 0.71894228553577 59
"44" 170.123319662383 5.43061321849854 60
"45" 191.513112345455 1.55171654057766 61
"46" 188.537840549863 2.05252628887207 62
"47" 189.318109845113 1.57651829257265 63
"48" 113.57595351479 25.8391569899126 64
"49" 201.324207746921 1.64192796993083 67
"50" 194.702338207356 1.36848626221898 68
"51" 165.012236583086 9.56606489667442 69
"52" 184.425206236592 4.42541750390938 70
"53" 194.070320015313 2.90192746839891 71
"54" 197.986820537084 2.30245331279013 72
"55" 191.68967235703 1.57859866151507 75
"56" 163.85152025789 2.24209770630347 77
"57" 158.19294775335 5.89258530065483 79
"58" 200.050806356769 0.722157012992588 81
"59" 176.01238912823 5.09595777625729 84
"60" 197.526618417126 1.59814600889327 85
"61" 190.547664388955 1.42069108608366 86
"62" 182.667423246782 0.685178238729125 87
"63" 176.190942920048 1.36752677984622 88
"64" 189.883642702148 3.20820550674193 89
"65" 189.784241100598 1.78295124087892 92
"66" 193.942996306283 2.97150470772476 93
"67" 209.258226736875 4.4298682800326 94
"68" 143.654632873429 4.38732204440372 95
"69" 137.560062844826 12.8410121388081 97
"70" 188.863924806116 4.60380120726633 98
"71" 172.509532048256 3.54076206583876 99
"72" 183.03999708532 1.29540503209192 100
"73" 177.964005498289 2.39335418249374 101
"74" 177.436312772006 2.27166050434625 102
"75" 161.288294146487 0.986968673071825 103
"76" 207.201034396115 1.91139282215737 104
"77" 176.75970839847 2.12277040866522 105
"78" 213.093704624778 4.30597486275739 107
"79" 155.107815152466 4.28170168512337 108
"80" 205.922003597093 1.13101278755761 109
"81" 170.104145484073 5.02669114144444 111
"82" 150.823384927307 1.66020330839425 113
"83" 162.781435091714 6.30534417162177 114
"84" 191.297800290961 4.20316535230763 115
"85" 182.920921428173 3.32755527168483 116
"86" 152.847304067925 1.27140400082582 117
"87" 184.942124099646 1.83638565361145 119
"88" 181.832550038938 2.26353518001316 121
"89" 165.170424213342 5.58195170001444 122
"90" 203.796547658683 1.66726900278687 123
"91" 172.605370601518 5.51263276906366 124
"92" 214.801108832055 1.02238172222537 125
"93" 180.265882952744 1.16724754808858 126
"94" 154.68898217508 0.876855678466063 127
"95" 187.000513287521 3.44094531077937 128
"96" 226.020637807741 2.41414091548568 129
"97" 187.477255328053 3.6841458065297 130
"98" 192.904597937516 0.702251843393288 132
"99" 182.300290751544 1.59988243346498 133
"100" 204.404133362769 1.90520479111323 134
"101" 176.613536518387 1.96377139185354 135
