"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" 128.587209613258 25.8762639745496 5.20088249871054 82.4675722029811 80.4930730112921 0.01 1
"2" 148.342651786202 25.0952507317827 2.92845634333196 64.3467114174972 25.7136417976902 0.360326942022806 2
"3" 80.104814523638 74.5493058426008 18.1093239311838 332.223807932639 1 0.810896102342521 3
"4" 172.247124198543 19.9853386044096 1.42545865257638 41.4004319831085 1 0.01 5
"5" 103.375220437571 36.3401725632183 15.2269291743672 43.230400222018 106.702820328427 0.470432355138518 6
"6" 159.243757140258 15.0833902142362 2.03418145517353 85.6408819742303 1 0.468455053954642 7
"7" 145.062886043806 43.0108929603265 5.35153027924742 124.832753423847 11.4259867920141 0.396853574116347 9
"8" 115.480396074428 16.0529579465483 3.44992312030094 5.20380777412878 67.1154416261271 0.533038163669042 10
"9" 124.041647400771 90.619846425276 10.4992775505627 240.533927006279 11.911378032599 0.62043064321744 12
"10" 140.157751577605 7.45035305529603 3.85768151024686 54.0007415860117 51.823946751188 0.455301484872507 13
"11" 119.161156660217 46.7986219035394 8.87560192416573 86.8276967288576 98.9691424731064 0.326869369679046 14
"12" 96.0762308789142 100 10.5775010868541 11.7261661880618 135.923326146112 0.484860921411195 15
"13" 120.369757181665 45.2694516959088 4.21413381324634 295.149240098136 36.9243298817649 0.01 17
"14" 142.965976813166 52.7762580145279 7.14425857782976 157.508558933941 20.3846850109357 0.442049156550871 18
"15" 111.317678764103 17.354479644067 3.14454059573483 46.4751008002824 17.6239513839226 0.63885857900115 19
"16" 139.265266081347 30.5237039237163 5.16464546843389 117.682648043805 19.8788610606777 0.490201829216539 20
"17" 126.385543686684 13.151338589904 2.63787690282009 53.4382029119282 27.7636382317696 0.712786540395659 23
"18" 117.471777881019 67.9359670076923 5.79491762874285 171.465512453596 9.82718529087089 0.262367104853269 24
"19" 152.30486093645 11.2282868749499 3.10099529915523 18.8501378228566 67.9064566279931 0.349584793063851 25
"20" 127.205946259416 44.0091311714848 5.45693513398648 82.1692617792081 49.3099166395553 0.436008186706435 26
"21" 148.858075754199 6.74893582255395 4.98981165620889 43.3911440131731 32.6828497019925 0.178912086271546 27
"22" 116.739042066571 100 14.802233575031 254.428484494312 21.9242776072952 0.446812480631586 30
"23" 105.673598189803 91.4905972335744 10.2505170174275 200.897833508527 61.007023486631 0.645922096361994 33
"24" 141.485607376977 29.1158299980347 4.28385094883864 176.70270321258 1 0.341560150675922 35
"25" 134.362571657725 39.1569892571799 5.70116776430043 102.042490638074 1 0.01 36
"26" 92.6155624017375 100 15.9134250609057 241.197350598977 56.1086062052029 0.715754213067761 38
"27" 165.688400234335 13.4513387077364 0.752208266904137 78.918870285122 1 0.0894606978519037 40
"28" 137.275735225117 44.8761576073758 3.5476034035406 31.7255146652245 74.0030899784905 0.231308079195665 42
"29" 172.889329044977 19.6221666959109 2.34950988916274 35.7683985348452 5.62976877171765 0.01 43
"30" 135.244852327548 37.7468779119004 4.03476751506178 113.516535083683 1 0.01 44
"31" 171.726019224645 8.33245146931723 2.54648808101851 25.9461388321943 32.3816971996958 0.28373861913691 45
"32" 128.837356391391 25.9626080692327 3.37912156312942 93.0487971957647 1.04702933011686 0.593602492564804 47
"33" 94.7352078282409 66.0346566226923 8.57113195561737 32.5379016406088 124.513354897858 0.711226689670459 48
"34" 137.188892952574 21.6017209580907 2.6017292002524 21.2982212730269 64.3810204874839 0.287594423395132 49
"35" 110.966356351367 22.8441753723999 22.6245543711703 46.0152921494465 169.230143570385 0.370586321185824 50
"36" 122.398606280247 30.373050796371 6.45082266126165 141.312856996203 17.4576082706596 0.17456091454999 51
"37" 157.28244021835 19.1927635038514 1.51386165379567 26.1962771022548 45.3141878440737 0.296616072010986 52
"38" 146.269253394325 20.0937667316933 3.73460725906146 61.0673272901499 49.6719670242204 0.01 53
"39" 106.479106636795 77.1802598132484 8.60827402348183 109.433606428012 136.394873026581 0.01 54
"40" 155.062896911684 15.1570046774174 1.13732390853348 33.5061917785134 14.7816372045231 0.639903920958342 56
"41" 139.890144533034 43.4808773025882 4.60425427094007 90.6436828716545 24.2674485850592 0.443433702281362 57
"42" 126.72017248109 53.3974226372177 5.95055071579748 85.7097626200099 35.6509192163165 0.476486426182889 58
"43" 138.07056238737 21.7218993625722 1.97276105709398 39.7188282556666 97.5922522502851 0.186462536900441 59
"44" 118.208169025999 53.8968079413668 9.28342206737288 43.6154806683591 71.8370453011285 0.129972577936483 60
"45" 139.89509368199 12.7808736538963 1.28458356966933 71.9631527943238 1 0.572605452707803 61
"46" 137.112303902227 36.6343892614455 5.25636906942547 133.974560829694 2.88637423966725 0.01 62
"47" 156.811602249198 12.2977513812616 1.85161810810937 60.3855320660457 1 0.29350004924734 63
"48" 77.7062937049512 100 13.5678977793468 61.3576814344291 1 0.579412318072285 64
"49" 135.669074200867 31.138590152694 4.73429815981388 71.2715432761768 104.390137231115 0.286873130874697 67
"50" 148.776161566837 20.4096188195078 3.05432667069262 82.0205126436867 24.094460195143 0.0534302739080861 68
"51" 69.0144039187365 100 18.4275989105303 293.479609142084 1 0.828545480813233 69
"52" 125.831306982256 9.99431728831216 2.05811342568311 51.5189011092969 1 0.741080263131918 70
"53" 154.626635356566 24.1222601375713 3.81615158222647 102.960364282007 5.05101807183014 0.557384809048851 71
"54" 130.549846881633 4.15253949234678 4.4029097475536 37.8394982612832 74.120397016087 0.5516206869725 72
"55" 157.228635751008 16.9722398844497 1.70380981744292 31.2991045235448 18.7637847629369 0.112196090162616 75
