"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 62.2847607559417 100 49.7662682179667 264.49533359442 170.81149258793 0.01 0.01 3
"2" 108.381114653631 41.6364304659865 44.728384918631 500 382.933618021788 0.01 0.01 6
"3" 184.050870073325 13.2070406682301 7.02393550533507 41.2848477677287 50.5829245981916 0.01 0.01 8
"4" 97.1457583811108 100 3.9128311971868 209.684328428201 209.770707457506 0.01 0.01 9
"5" 74.8688214125594 100 26.2334045105809 166.242327536279 294.406253849749 0.01 0.01 13
"6" 101.662538962514 100 17.3274179754303 97.0898696437774 234.594707954777 0.01 0.01 14
"7" 140.077819163431 100 9.27318185492485 21.6329132883554 76.2113551572075 0.222886661286007 0.01 16
"8" 164.77513644314 43.0376441436968 7.71387657474987 86.0062812386792 45.3493919227573 0.01 0.01 17
"9" 59.7626866496246 100 47.7527815269961 352.318973285782 161.896042893532 0.01 0.01 23
"10" 198.520498363075 17.639223818771 8.48422960182606 103.756727223953 1 0.01 0.01 27
"11" 87.1137683406176 100 24.6466072642413 324.355385631814 272.343458915122 0.01 0.01 28
"12" 61.8760071255879 37.4184886938053 23.0708060423703 500 373.769526169594 0.01 0.01 29
"13" 112.666717535306 100 45.9588628699177 170.381264886261 1 0.01 0.01 30
"14" 137.360659475021 100 7.3277088583268 39.2242825306901 263.14461592189 0.01 0.01 32
"15" 90.5941656270995 100 12.8192594759993 165.484746341872 139.471697282731 0.01 0.01 33
"16" 171.171790568829 70.863431079845 6.03686592754909 75.3978216744786 1 0.01 0.01 34
"17" 208.601875463519 7.38374653857977 6.3140515414088 47.0490441346767 38.3949165628876 0.01 0.01 36
"18" 77.9163761133671 100 19.5061250362738 405.290219428908 62.5530145125897 0.01 0.01 37
"19" 241.600942338948 24.881435466354 1.15283586341238 34.0051625435692 31.6327291300719 0.01 0.01 39
"20" 81.3744704922432 100 43.965590999984 72.3164098781633 59.6914337064011 0.01 0.01 40
"21" 77.7249791806952 65.7551771800416 20.2095838182955 54.9540071925108 500 0.01 0.01 43
