"V1" "V2" "V3" "V4" "V5"
"1" 40.3716769599615 100 100 806.695491946468 3
"2" 45.6683377720856 100 100 320.778930294752 6
"3" 36.8367380894056 100 100 612.772169183408 8
"4" 51.4747328488861 100 100 316.274116294203 9
"5" 48.3705178648068 100 100 274.639402928687 13
"6" 51.7273710820957 32.4919545994968 33.5144560500894 1000 14
"7" 48.3624707272897 100 100 483.010398398385 16
"8" 45.8779451351194 100 100 316.645510468226 17
"9" 50.4563215592927 100 100 465.239074667231 23
"10" 45.3279887888099 100 95.3837801065289 565.434147418953 27
"11" 52.6415367563141 100 100 276.479093117896 28
"12" 39.5273480929333 100 96.2137689885741 557.32223955723 29
"13" 47.5339747019622 100 100 354.925571676769 30
"14" 49.3938161975956 100 100 449.220162698271 32
"15" 44.3711618167108 54.8219700799244 55.5390988000003 1000 33
"16" 46.0349195381271 100 100 284.294259964497 34
"17" 32.4569715690932 100 100 1000 36
"18" 50.2803626816782 32.4896096948733 34.4308812117784 1000 37
"19" 41.4960574295979 100 100 750.365116279 39
"20" 52.9426130266775 100 100 273.496375582212 40
"21" 51.675753267702 100 100 313.467444964537 43
"22" 46.3576178129117 100 100 350.725952165267 44
"23" 50.6074349482437 99.3451653076619 100 408.023677850226 47
"24" 50.6645685224423 100 100 276.761983265898 48
"25" 51.6202685608622 100 100 384.538843556585 51
"26" 46.82471986384 100 100 353.27438876864 54
"27" 48.3143938960347 100 100 468.119247280923 55
"28" 50.6481056803892 100 100 427.04261532652 56
"29" 40.2299600007534 100 100 824.636989329676 58
"30" 40.6217060759082 69.9335581200485 70.4038944654461 1000 60
"31" 49.4934406059122 100 100 272.321364686127 61
"32" 49.8962165346825 100 100 288.229642894323 62
"33" 49.0278038095469 100 100 363.319216893687 63
"34" 52.2484795582615 100 100 328.566863418793 64
"35" 53.0157413108298 28.7537137227012 27.1657727762028 1000 65
"36" 43.6595671189746 100 94.858046068635 551.741209224417 66
"37" 35.9325726854381 100 100 330.316841885965 67
"38" 34.0834520126448 100 99.9638553987437 1000 68
"39" 39.6821758133047 100 100 766.282970018003 70
"40" 30.7272597852688 100 100 1000 71
"41" 40.3632355474175 70.581135758721 69.1667439123175 1000 73
"42" 41.507089702891 100 100 608.629675985081 76
"43" 41.6588135914014 100 100 612.297776746838 79
"44" 40.1633201954853 100 100 689.340784994014 80
"45" 38.644075409711 74.8595196294311 77.6307453714521 1000 83
"46" 39.7097706087112 71.6903292482481 69.5983077905726 1000 86
"47" 34.2405140257812 100 100 1000 87
"48" 43.4628347010138 100 95.7063667181795 565.072357112197 88
"49" 39.3035096171835 100 100 886.312669558989 90
"50" 50.8168306445654 100 100 315.417618526867 91
"51" 43.2381037259304 32.2310397701312 34.9974727573471 1000 93
"52" 43.0861463210407 100 100 570.789948282014 95
"53" 49.8880102223404 100 100 329.369340406411 96
"54" 42.0231293284555 65.7453656565033 63.5258958034779 1000 97
"55" 50.8681016180094 100 100 476.097006035205 98
"56" 37.7906979436061 94.3637753360316 100 1000 100
"57" 40.1281689703986 65.3790967582435 63.0947806338289 1000 104
"58" 49.0549893222723 100 100 332.502999506598 107
"59" 49.767576957148 100 100 314.471780817616 111
"60" 41.21527503426 100 100 639.503561428447 114
"61" 24.4200226123359 100 100 392.365866027562 115
"62" 45.1680783921615 54.1997835575156 57.063295830401 1000 117
"63" 40.3307845355891 100 100 644.872066526681 118
"64" 38.7315573224941 100 100 852.825182443251 120
"65" 50.0891862970835 100 100 330.729537681019 124
"66" 42.9079594287395 100 94.8711258878514 561.064562320278 128
"67" 49.40158168495 100 100 330.322360536682 130
"68" 48.0382874737237 100 100 328.783715283284 131
"69" 33.8969717535917 100 100 335.98119060728 1001
"70" 29.482170109993 100 100 599.87415147432 1002
"71" 31.1635530775925 100 100 333.865422887304 1003
"72" 33.6806080428243 98.5925890614649 100 402.680445889487 1005
"73" 34.2912637475562 100 100 348.628712893187 1006
"74" 39.5481632461705 13.7809613391585 18.7161482890183 1000 1007
"75" 29.9813562243694 100 96.2575715312225 576.795228909838 1009
"76" 19.1723720991486 100 98.2669328044214 1000 1010
"77" 27.9436046580271 100 100 642.011025107049 1012
"78" 25.4020652279871 100 100 408.107199614612 1013
"79" 28.0055145679889 100 100 700.630032883596 1014
"80" 31.0188414401492 55.1050623141234 58.8542086526822 1000 1015
"81" 26.9494088228175 100 100 1000 1017
"82" 36.5793438397399 100 100 382.103266157971 1018
"83" 25.081517850289 100 100 627.129006150886 1019
"84" 32.6453789916917 100 100 336.115078975892 1020
"85" 29.1185850174152 53.3007041059861 57.8613377598631 1000 1023
"86" 25.008293160501 100 100 613.542019224873 1024
"87" 36.9584393364281 100 100 274.377280751641 1025
"88" 32.8731757463574 100 100 320.197145201139 1026
"89" 36.2729035087428 100 100 325.156051089415 1027
"90" 25.3425745557011 79.2744915321099 84.1865608771201 1000 1030
"91" 27.2717020033024 65.4378201858756 63.4510561332794 1000 1033
"92" 29.1413956647943 98.7663198007792 100 380.859378503046 1035
"93" 29.2796894007953 100 100 681.375014699501 1036
"94" 34.8765445374732 100 100 394.352231186404 1038
"95" 28.0194360662772 100 100 770.047676968011 1040
"96" 25.5951877808166 89.8546421707816 93.8755630021989 1000 1042
"97" 36.3006970502233 100 100 333.836542651856 1043
"98" 33.498716557502 50.7566216635147 47.0436575237402 1000 1044
"99" 28.8040215229476 100 97.6082480616824 580.857224779368 1045
"100" 34.616495335134 100 100 470.42972245735 1047
"101" 34.5055556279 100 100 420.012077356155 1048
"102" 25.6545359422974 96.2637873555961 100 705.126673733541 1049
"103" 30.5058862863482 100 95.4173147124874 573.332482967285 1050
"104" 33.9124323629784 100 100 281.260381245836 1051
"105" 31.3415018968782 100 94.7953367946288 556.025224068335 1052
"106" 34.2720811342643 100 100 317.822501004894 1053
"107" 35.3787877867677 100 100 292.84100404737 1054
"108" 36.1143432331609 100 100 413.687778844324 1056
"109" 27.9645395251917 100 100 616.237874744352 1057
"110" 27.9641510319642 70.0905694811397 69.4617812401314 1000 1058
"111" 33.8009170085127 100 100 285.554808589668 1059
"112" 27.697394595899 100 99.1313553814623 788.509973766287 1060
"113" 30.49067711951 39.7759803224343 42.0519109599721 1000 1061
"114" 37.8386662801539 100 100 276.081636489597 1062
"115" 33.0181069258449 100 100 345.28672281114 1063
"116" 25.3811339952492 70.9202516103777 71.0841116779205 1000 1064
"117" 36.4451946082426 100 100 463.874975731924 1067
"118" 34.7620892589484 100 100 269.202812159841 1068
"119" 32.3702956098944 100 100 437.713315191871 1069
"120" 28.2002986406622 100 100 604.024467319878 1070
"121" 33.8623131714566 100 100 388.689581894973 1071
"122" 26.4964052332874 100 100 763.391057330354 1072
"123" 25.1147234973036 100 100 752.421613976156 1075
"124" 21.6792051843592 100 100 1000 1077
"125" 26.4750811009232 100 100 705.905748237252 1079
"126" 36.9939486390312 100 100 272.559415125297 1081
"127" 27.4996247281944 75.7728402705185 78.2643669395625 1000 1084
"128" 30.530392089784 46.5545343810186 50.6838837019416 1000 1085
"129" 28.6340539665146 70.421179634709 71.3485973185344 1000 1086
"130" 30.9490104142466 100 100 369.993931198066 1087
"131" 32.334001655954 100 100 426.849274184736 1088
"132" 35.8995724548282 100 100 314.816334089298 1089
"133" 32.4114846796983 100 100 365.446807547435 1092
"134" 36.1114155901413 100 100 353.284631424365 1093
"135" 34.0483729784197 100 100 480.238481000799 1094
"136" 32.7750566722019 100 100 382.500016681522 1095
"137" 31.2769734348001 100 100 328.391765396427 1097
"138" 34.7203954251495 100 100 333.510029725128 1098
"139" 34.7105180409218 100 100 272.827879586558 1099
"140" 29.1219542103232 100 99.7617938390881 589.230533223955 1100
"141" 27.2410831405703 100 100 755.645110980735 1101
"142" 26.1160827604958 100 100 607.52414089989 1102
"143" 34.4003986907414 23.7577066015936 21.0735475329038 1000 1103
"144" 26.419354480036 81.9538147306004 85.4957929107137 1000 1104
"145" 32.9380150837444 100 100 318.828097983872 1105
"146" 23.4305951240342 100 99.8717018224912 1000 1107
"147" 23.0948084436062 100 94.4714302207257 983.61352868299 1108
"148" 33.6774143039463 45.80394534074 45.3084306480378 1000 1109
"149" 23.1757596528753 100 100 994.130462187713 1111
"150" 27.2520843976347 100 100 347.098097735859 1113
"151" 35.4119112290539 100 100 322.468451289695 1114
"152" 25.904349721011 100 92.4236339689043 548.835383456491 1115
"153" 28.1240097319471 100 100 611.901490071604 1116
"154" 22.3737412385693 100 99.2224813624897 976.379504813377 1117
"155" 26.1313871499817 60.2663165737941 61.5190814322612 1000 1119
"156" 29.3837339835091 100 100 613.1793809866 1121
"157" 32.2375026580342 100 100 449.225974310113 1122
"158" 23.7347108691071 100 100 1000 1123
"159" 24.7502520200304 100 96.9366204115259 568.262547426981 1124
"160" 20.4527390428257 100 96.8970105300979 1000 1125
"161" 33.5625109110294 100 100 482.146940376889 1126
"162" 22.1464517931394 99.4445957132035 100 695.330246409323 1127
"163" 32.5840323823606 100 100 390.2532158621 1128
"164" 23.0419520919045 100 100 618.693032333299 1129
"165" 30.2104752460412 100 100 692.632581718242 1130
"166" 29.5136488093283 100 98.2882402733405 486.285280924034 1132
"167" 29.4297598085724 100 100 344.878723620162 1133
"168" 20.2481452812385 100 98.658201813502 1000 1134
"169" 26.0351782408572 100 100 626.643522279329 1135
