"V1" "V2" "V3"
"1" 152.488472904561 22.8991040869671 3
"2" 92.1762595916559 78.4268554597792 6
"3" 155.830878372466 13.4081092356876 8
"4" 278.890466287446 3.9662526892087 9
"5" 164.360317756015 24.7311407072295 13
"6" 229.741998965698 9.46210797431741 14
"7" 160.973599820773 26.4239032147994 16
"8" 168.706876770053 15.9175126908699 17
"9" 100.624625434606 100 23
"10" 193.582035785895 18.1915718778069 27
"11" 226.58700241725 9.21104037786881 28
"12" 149.541123044318 31.1439311598567 29
"13" 241.122407998412 4.16369506718407 30
"14" 98.9857593444855 98.7408841728148 32
"15" 160.518132320905 19.6608731277464 33
"16" 238.16098929087 4.51204153006691 34
"17" 160.931256941415 20.7092286466104 36
"18" 124.443991963466 41.8378160737312 37
"19" 147.111894365372 37.2345844194568 39
"20" 177.823088685043 23.9792367030209 40
"21" 213.071128114713 13.4383716627346 43
"22" 114.682025139314 42.4449964842474 44
"23" 249.312523191278 4.97593766754595 47
"24" 247.915206383762 6.54531816754167 48
"25" 100.429843909777 97.7770910026627 51
"26" 198.503814619332 13.7160947389289 54
"27" 194.043487241603 13.415774552932 55
"28" 133.017484941904 35.8382848886716 56
"29" 244.760766898417 6.05141427488346 58
"30" 286.985537213873 1.04055737459438 60
"31" 174.561740100156 20.3694339780188 61
"32" 158.695952176266 18.3070023315789 62
"33" 184.235135160563 20.1068640059379 63
"34" 197.340590967458 15.7306338228565 64
"35" 98.9973349498421 88.8262054193057 65
"36" 160.031502984548 22.4887325587246 66
"37" 128.731229630201 21.283258111565 67
"38" 116.966604099805 54.6826307836772 68
"39" 130.309631947124 34.3943167299641 70
"40" 196.740442868494 5.88120438631628 71
"41" 196.709334513431 9.22162211500685 73
"42" 107.976866549509 68.7223895130673 76
"43" 166.702923276325 17.8044628397032 79
"44" 137.303200445677 27.9672465732481 80
"45" 192.345865583641 15.6419918310244 83
"46" 173.005776106981 10.5954036079687 86
"47" 163.26183394448 26.3283308788226 87
"48" 110.459034611348 54.5288403424053 88
"49" 218.745928230676 6.60513807325723 90
"50" 219.434326852157 12.6513506892018 91
"51" 246.428351022261 2.79387139772395 93
"52" 226.985791296934 6.05758693549128 95
"53" 88.6553979198494 100 96
"54" 213.267056838743 10.9489095812667 97
"55" 135.495458526444 47.1359678090692 98
"56" 174.142626325599 11.7136340565002 100
"57" 249.077263434761 3.74076975814411 104
"58" 219.361138529558 8.96791661983422 107
"59" 218.154033906395 9.83794110111889 111
"60" 265.577084165286 3.53289407804019 114
"61" 148.685785820134 4.84194945419684 115
"62" 101.986066496149 100 117
"63" 107.273763377491 64.1054927424677 118
"64" 257.060565086908 5.00388403675742 120
"65" 171.491307241124 12.4084977475104 124
"66" 153.796806005096 21.0057950803982 128
"67" 190.27670129292 13.7891515371154 130
"68" 163.841792653175 16.863171237682 131
"69" 86.452839705595 58.2014675218381 1001
"70" 184.137675831061 2.30141891949374 1002
"71" 128.207297145605 15.9985199105649 1003
"72" 100.938853657215 38.0309740146201 1005
"73" 148.483796553058 10.3439455637775 1006
"74" 85.7346419488211 29.3262544704242 1007
"75" 156.338115828975 7.91895082273934 1009
"76" 98.9704120566053 19.4755053482549 1010
"77" 142.191685492936 10.6806142426176 1012
"78" 140.022847573367 5.72279291677525 1013
"79" 63.5123551265682 100 1014
"80" 153.844216474052 12.0646862344465 1015
"81" 117.980041165747 26.7017376271283 1017
"82" 203.087858203763 1.34153882389947 1018
"83" 100.225890755228 17.7531413475982 1019
"84" 101.014987163571 36.7091718508519 1020
"85" 110.543768330389 19.0035254008705 1023
"86" 126.957956508666 12.2252746211982 1024
"87" 66.5049783705794 100 1025
"88" 114.795303048343 14.9195122885829 1026
"89" 137.312700453981 10.2395560110618 1027
"90" 125.767812861389 14.3734173876557 1030
"91" 171.769022240045 5.53259553315433 1033
"92" 54.8121684731954 100 1035
"93" 65.9581023551282 100 1036
"94" 115.971444559256 25.5092756853288 1038
"95" 142.719436641177 13.7945998852982 1040
"96" 72.0669847605893 76.554679393562 1042
"97" 164.370118934162 8.34912845302605 1043
"98" 112.522231160707 24.5465381853771 1044
"99" 182.126487099719 3.64992284163725 1045
"100" 133.353324035013 6.7623497611389 1047
"101" 191.320278136713 3.35391896764352 1048
"102" 179.391537935068 5.28486269864071 1049
"103" 142.808625793006 4.48052967681544 1050
"104" 113.346996049691 10.4434412438527 1051
"105" 108.584527417991 17.915225422728 1052
"106" 173.928941411294 5.2444766211985 1053
"107" 68.4562465383391 100 1054
"108" 95.2583303375541 58.2079491818656 1056
"109" 82.9064512716345 54.8108919731879 1057
"110" 158.949999750329 3.70782894353426 1058
"111" 127.711564675791 15.2750330805199 1059
"112" 102.463912114646 33.9053148332698 1060
"113" 103.403822539467 13.8344345872238 1061
"114" 134.032472767296 13.8876404242987 1062
"115" 140.743503423845 7.51683989489405 1063
"116" 160.823628104089 1.53498250200002 1064
"117" 154.945054372072 8.3586577641722 1067
"118" 114.289931553354 12.9878387685254 1068
"119" 84.2058974448768 31.8601634537397 1069
"120" 115.063405064243 11.4271437225395 1070
"121" 174.597978333485 5.27604754433107 1071
"122" 178.572367609231 3.36013597281684 1072
"123" 96.6496533487334 18.9045254896743 1075
"124" 107.516400942981 10.18181365185 1077
"125" 118.313336572183 23.2322548025821 1079
"126" 176.229789003699 5.00780450803778 1081
"127" 114.934983383339 29.1903033497478 1084
"128" 158.885843525896 8.86580728759735 1085
"129" 140.967325723596 6.2721752076216 1086
"130" 102.717490560285 14.3269279721755 1087
"131" 135.150264624034 11.2595449979138 1088
