"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" 55.3985025461349 69.8448647979693 72.3654114676172 500 44.284664387802 0.01 3
"2" 46.3682635684963 100 100 315.862603815443 4.83410454797925 0.01 6
"3" 41.886404027793 92.8239837672433 91.8581253983879 500 37.3992384919262 0.01 8
"4" 52.2160698815 100 100 315.235625048073 1 0.01 9
"5" 49.1025323293291 100 100 273.156404019841 1.5550726110034 0.01 13
"6" 80.037483008699 18.1650869189677 18.9213544341963 500 64.1603132551553 0.01 14
"7" 49.0870686810127 100 100 482.012096051622 1 0.01 16
"8" 46.520214117924 100 100 315.590551610343 1 0.01 17
"9" 51.0666372160165 100 100 453.403903681728 11.742977430174 0.01 23
"10" 47.7132558476788 100 90.7483230931238 500 35.8640061856757 0.01 27
"11" 53.3842190102837 100 100 275.508706116489 1 0.01 28
"12" 41.7182651206512 100 91.9565595802574 500 26.9818506037815 0.01 29
"13" 48.2378145383315 100 100 353.520780479004 1.34877520464493 0.01 30
"14" 50.1093323385751 100 100 448.230094343731 1 0.01 32
"15" 70.3757898220694 30.2237092815462 31.2881710332365 500 55.7006220489643 0.01 33
"16" 46.7176450097699 100 100 283.266166482796 1 0.01 34
"17" 54.1327909707983 58.8071267665381 57.4508591950699 500 54.5808243022873 0.01 36
"18" 78.7289859767668 18.4789451523741 19.7003255891434 500 66.1060313378398 0.01 37
"19" 53.5953859916257 76.7591885560265 79.3377422599267 500 54.1107617379094 0.01 39
"20" 53.6786014634837 100 100 272.459528457946 1 0.01 40
"21" 52.411076351064 100 100 312.404474638141 1 0.01 43
"22" 47.0335785520933 100 100 346.512080897493 4.34819854951812 0.01 44
"23" 51.3485656872148 99.3395678850963 100 407.023259424515 1 0.01 47
"24" 51.4009884792114 100 100 275.745609319156 1 0.01 48
"25" 52.2215048160561 100 100 374.067726787486 10.7625000675773 0.01 51
"26" 47.4861579073294 100 100 352.254889390783 1 0.01 54
"27" 48.935387853803 100 100 457.501794755832 10.8860318085166 0.01 55
"28" 51.3835690354638 100 100 426.004070148576 1 0.01 56
"29" 55.6063168938735 68.9402124278312 71.397240129296 500 51.5852486185276 0.01 58
"30" 65.7197163119646 40.219211082521 40.6382327279357 500 69.7389921123265 0.01 60
"31" 50.2079657539387 100 100 271.286696358273 1 0.01 61
"32" 50.5949003451715 100 100 287.225304748145 1 0.01 62
"33" 49.733834209236 100 100 360.331916176727 2.91741899365855 0.01 63
"34" 52.98448077424 100 100 327.574341399708 1 0.01 64
"35" 81.9514182893354 16.0722077671412 15.4238798159254 500 63.4616831145782 0.01 65
"36" 45.3999557883092 100 91.4982516677693 500 30.3922239146972 0.01 66
"37" 36.4366726416702 100 100 325.35141621036 4.23646068289298 0.01 67
"38" 58.1648122823394 56.9768041088053 56.2999827971258 500 53.8597177672971 0.01 68
"39" 51.875837966469 72.0151187444194 80.3909656544248 500 47.9951465836583 0.01 70
"40" 50.5876048920784 59.3246024972098 57.9565881376663 500 65.1445127973017 0.01 71
"41" 65.6098036090683 39.0994384094834 38.723957546889 500 52.1666759747485 0.01 73
"42" 47.1893545115446 92.1727118979353 94.700800164603 500 36.0071191899278 0.01 76
"43" 46.2331409518208 95.9440051663154 97.5932331678223 500 58.8619423472845 0.01 79
"44" 47.2144857725545 82.4095841062973 95.6617535422575 500 61.7320857543798 0.01 80
"45" 63.3695200577493 41.61171238195 43.8692211293453 500 58.6787637349189 0.01 83
"46" 64.977285262089 39.821137538525 39.3519031467907 500 52.9481150914959 0.01 86
"47" 57.6947089190955 57.2406045202621 58.0492527108995 500 48.108351972806 0.01 87
"48" 45.8461488279833 100 90.7823890353293 500 33.0575846131917 0.01 88
"49" 56.2335859216562 66.1316653179013 67.7051697681245 500 58.3445556435226 0.01 90
"50" 51.5512555454589 100 100 314.271190878061 1.10213154814609 0.01 91
"51" 66.4019997152762 18.6812959982991 20.5282897754081 500 73.8712112966375 0.01 93
"52" 46.0478112309549 100 94.6580972140902 500 35.961857574567 0.01 95
"53" 50.6201959219467 100 100 328.343578065203 1 0.01 96
"54" 66.0597662362881 37.9753244099786 37.3491686319093 500 77.6791162930826 0.01 97
"55" 51.6016565235653 100 100 474.411379834564 1.69367831869155 0.01 98
"56" 61.6546701572389 53.9236643805407 58.4688530700308 500 65.6353711713672 0.01 100
"57" 64.7667491115591 36.4433998543921 35.5052619969595 500 55.9074497937914 0.01 104
"58" 49.7024519266377 100 100 324.437424616374 8.08272834328402 0.01 107
"59" 50.4817274293754 100 100 313.415705293217 1 0.01 111
"60" 48.0134852903389 87.8257608706581 91.827765891221 500 40.4006440762816 0.01 114
"61" 24.8269707731898 100 100 391.656163611493 1 0.01 115
"62" 72.8142766486007 30.0242652786295 31.7190920473778 500 47.7799460742982 0.01 117
"63" 47.6249812874637 85.0354307023722 91.5832734806377 500 32.1891894343029 0.01 118
"64" 55.5192186549271 67.1706855207836 65.6665622483037 500 39.3864875170737 0.01 120
"65" 50.8264188845792 100 100 329.729024016889 1 0.01 124
"66" 44.8552439947184 100 90.7617402399267 500 35.3488139292728 0.01 128
"67" 50.1382484758479 100 100 329.339974769332 1 0.01 130
"68" 48.7664813433577 100 100 327.78532171913 1 0.01 131
"69" 34.4026642631245 100 100 334.964823676696 1 0.01 1001
"70" 31.7775764766191 99.9924708696352 98.0397212146191 500 65.8328098416633 0.01 1002
"71" 31.6312269020047 100 100 331.766972346312 2.08511622226602 0.01 1003
"72" 34.1705680602476 98.5196737832101 100 397.201389579559 5.5907249224079 0.01 1005
"73" 34.8077036433897 100 100 347.641060111462 1 0.01 1006
"74" 59.2854919359377 8.10028834789765 10.9339672770152 500 78.5773340261927 0.01 1007
"75" 32.0302359504681 100 90.9004139542414 500 40.910937960292 0.01 1009
"76" 32.4498810522434 61.7668078784876 57.5914229630805 500 73.8069684903521 0.01 1010
"77" 32.893799223764 87.4818368169073 90.6524096051805 500 36.6851505952713 0.01 1012
"78" 25.8596714127152 100 100 407.185175510516 1 0.01 1013
