"blue_self" "red_self" "blue_post" "red_post" "si" "conf"
"1" 290.751222070471 73.4378055176177 332.813324100168 98.1409448049 63 2
"2" 23.0566997161024 162.749131251417 42.4186196980263 210.152452586473 29 3
"3" 74.5223323870079 111.283498580512 89.2106854767434 163.360386807756 22 3
"4" 19.1094513794044 345.079576208684 34.4654568823096 396.488812022758 23 2
"5" 19.380583096752 166.425247870768 36.0718934259968 216.499178858502 25 2
"6" 157.234956322392 28.570874645128 203.970625244277 48.6004470402217 70 1
"7" 163.98506241464 200.203965173449 184.014634809734 246.939634095334 30 1
"8" 28.570874645128 157.234956322392 29.2385270582978 223.332545226201 1 1
"9" 37.2189027588089 326.97012482928 53.9102130880537 377.044055817014 25 1
"10" 46.95145774188 138.85437322564 73.6575542686716 178.913518015827 40 2
"11" 166.425247870768 19.380583096752 214.496221618993 38.0748506655061 72 2
"12" 308.860673449875 55.3283541382133 354.928689958591 76.0255789464768 69 3
"13" 290.751222070471 73.4378055176177 332.145671686998 98.8085972180698 62 1
"14" 138.631830483474 225.557197104615 152.652531160039 278.301737745029 21 3
"15" 48.0845735864515 316.104454001637 68.7817983947151 362.172470510353 31 1
"16" 265.397990139305 98.7910374487839 303.454177689983 127.500091215085 57 1
"17" 28.570874645128 157.234956322392 48.6004470402217 203.970625244277 30 1
"18" 28.570874645128 157.234956322392 50.6034042797311 201.967668004768 33 3
"19" 28.570874645128 157.234956322392 29.2385270582978 223.332545226201 1 3
"20" 51.7064638623324 312.482563725756 71.7360362574262 359.218232647642 30 3
"21" 45.1133994322048 140.692431535315 71.8194959589964 180.751576325503 40 3
"22" 203.82585544933 160.363172138759 253.232134023894 177.722134881174 74 3
"23" 160.363172138759 203.82585544933 179.057439707513 251.896829197555 28 3
"24" 182.094513794044 182.094513794044 204.127043428647 226.82722547642 33 2
"25" 37.2189027588089 326.97012482928 53.9102130880537 377.044055817014 25 2
"26" 149.882723083691 35.9231078838288 192.612477526558 59.9585947579413 64 2
"27" 40.8407930346898 323.348234553399 58.1997557771043 372.754513127963 26 3
"28" 22.7313416552853 341.457685932803 38.0873471581905 392.866921746877 23 2
"29" 26.7328163354528 159.073014632067 27.4004687486226 225.170603535876 1 2
"30" 243.666648484019 120.522379104069 299.081798777112 131.872470127956 83 3
"31" 19.1094513794044 345.079576208684 32.4624996428003 398.491769262268 20 3
"32" 44.4626833105706 319.726344277518 63.1569508793248 367.797318025743 28 2
"33" 19.1094513794044 345.079576208684 32.4624996428003 398.491769262268 20 1
"34" 113.278598552307 250.910429035781 144.658261971288 286.29600693378 47 1
"35" 37.2189027588089 326.97012482928 55.2455179143932 375.708750990675 27 1
"36" 37.761166193504 148.044664774016 41.0994282593529 211.471644025146 5 1
"37" 54.3036909805808 131.502139986939 85.683354399561 166.887717884938 47 2
"38" 200.203965173449 163.98506241464 247.607286508504 183.346982396564 71 1
"39" 148.044664774016 37.761166193504 191.442071630052 61.1290006544467 65 3
"40" 120.473790128888 65.3320408386319 153.856410787377 98.7146614971215 50 3
"41" 65.3320408386319 120.473790128888 98.7146614971215 153.856410787377 50 1
"42" 200.203965173449 163.98506241464 246.939634095334 184.014634809734 70 3
"43" 111.283498580512 74.5223323870079 161.357429568246 91.2136427162527 75 1
"44" 37.761166193504 148.044664774016 61.1290006544467 191.442071630052 35 2
"45" 308.860673449875 55.3283541382133 353.593385132251 77.3608837728164 67 1
"46" 37.761166193504 148.044664774016 61.1290006544467 191.442071630052 35 1
"47" 111.283498580512 74.5223323870079 161.357429568246 91.2136427162527 75 2
"48" 283.507441518709 80.6815860693795 323.566586308897 107.387682596171 60 2
"49" 111.283498580512 74.5223323870079 161.357429568246 91.2136427162527 75 3
"50" 37.761166193504 148.044664774016 61.1290006544467 191.442071630052 35 3
"51" 111.283498580512 74.5223323870079 162.692734394586 89.8783378899131 77 1
"52" 111.283498580512 74.5223323870079 162.025081981416 90.5459903030829 76 2
"53" 148.044664774016 37.761166193504 191.442071630052 61.1290006544467 65 3
"54" 37.761166193504 148.044664774016 61.1290006544467 191.442071630052 35 2
"55" 211.069636001091 153.119391586997 261.143566988826 169.810701916242 75 2
"56" 58.9502444140942 305.238783173994 59.617896827264 371.336372077804 1 3
"57" 74.5223323870079 111.283498580512 89.2106854767434 163.360386807756 22 1
"58" 203.82585544933 160.363172138759 251.896829197555 179.057439707513 72 2
"59" 148.044664774016 37.761166193504 191.442071630052 61.1290006544467 65 1
"60" 218.313416552853 145.875611035235 248.357775145494 182.596493759574 45 2
"61" 23.7037139977986 91.8148559911942 94.6950594427331 223.655926103216 35 3
"62" 16.892599798459 98.6259701905338 79.7706486211153 238.580336924833 31 2
"63" 34.3899329365639 301.509396429075 85.0980368258029 453.633708096792 25 3
"64" 104.301898689983 11.2166712990093 256.4262103577 61.9247751882483 75 3
"65" 298.170403135419 37.7289262302203 442.181418180858 96.5503267417375 71 1
"66" 48.677799395377 66.8407705936158 101.414227440186 216.936758105763 26 1
"67" 43.0018708959273 72.5166990930654 85.5966781628881 232.754307383061 21 2
"68" 294.831409841762 41.0679195238767 436.814100731632 101.917644190964 70 2
"69" 5.54074279955971 109.977827189433 50.16387422209 268.187111323859 22 2
"70" 54.3537278948266 61.1648420941662 115.203452561913 203.147532984035 30 3
"71" 88.4092988915244 27.1092710974683 210.108748225698 108.242237320251 60 3
