"V1" "V2" "V3" "V4" "V5" "V6"
"1" 54.6624313884325 69.8448651354929 72.3654117227793 500 44.2846657420087 3
"2" 45.6321924107939 100 100 315.862603375394 4.83410488267036 6
"3" 41.2507352198 92.8239842294032 91.8581254058283 500 37.3992382693906 8
"4" 51.4799987237976 100 100 315.235624298159 1 9
"5" 48.3664611716267 100 100 273.156404376876 1.55507197473106 13
"6" 79.3014118509966 18.1650867352036 18.9213546336329 500 64.1603133362328 14
"7" 48.3811232786643 100 100 482.012097878362 1 16
"8" 45.8779012521116 100 100 315.590551652114 1 17
"9" 50.3405911419612 100 100 453.403903329149 11.7429780391315 23
"10" 46.9771846899764 100 90.7483223591821 500 35.8640043508684 27
"11" 52.6481478525813 100 100 275.508706114148 1 28
"12" 41.0792995359549 100 91.956559111009 500 26.9818504850798 29
"13" 47.5318691359831 100 100 353.520781196169 1.3487745598017 30
"14" 49.3933618525797 100 100 448.230094350803 1 32
"15" 69.659819336074 30.2237093004609 31.288171166129 500 55.7006233428446 33
"16" 46.0384780816596 100 100 283.266166473942 1 34
"17" 53.4234982873339 58.8071263214978 57.4508583926464 500 54.5808206035698 36
"18" 77.9929148190643 18.4789449470894 19.7003257018577 500 66.1060340971354 37
"19" 52.8593148339233 76.7591883537797 79.3377417672367 500 54.1107596256286 39
"20" 52.9492081083123 100 100 272.459528466986 1 40
"21" 51.6951058650686 100 100 312.404475454718 1 43
"22" 46.337641473691 100 100 346.512080590391 4.3481972447105 44
"23" 50.6124945295123 99.3395678627714 100 407.023259338174 1 47
"24" 50.6749424051561 100 100 275.745609317098 1 48
"25" 51.4854336583537 100 100 374.067726810519 10.7625000507035 51
"26" 46.8270411465133 100 100 352.254889600508 1 54
"27" 48.2059944986317 100 100 457.501794694005 10.8860317124352 55
"28" 50.6675985494684 100 100 426.004069784961 1 56
"29" 54.8702457361711 68.9402123049525 71.3972389292831 500 51.5852487900534 58
"30" 65.0037458259692 40.2192111184069 40.6382327291265 500 69.7389925967327 60
"31" 49.4986730704743 100 100 271.286696499585 1 61
"32" 49.8956327453542 100 100 287.22530483163 1 62
"33" 49.0178637232406 100 100 360.33191547411 2.91741960380309 63
"34" 52.2484096165376 100 100 327.57434178551 1 64
"35" 81.2353972989272 16.0722075873653 15.4238797976158 500 63.4616812895563 65
"36" 44.6772402356688 100 91.4982513256214 500 30.3922229325406 66
"37" 35.9215405998053 100 100 325.351415931863 4.23646166655382 67
"38" 57.4387662082841 56.9768045445146 56.2999826494205 500 53.8597191598723 68
"39" 51.1732230855356 72.015118677263 80.3909641006207 500 47.9951431373512 70
"40" 49.9318859167912 59.324602646166 57.9565875521896 500 65.1445116604871 71
"41" 64.883757535013 39.0994380870057 38.7239575976559 500 52.1666751498457 73
"42" 46.4599611563732 92.172711944797 94.7008001234573 500 36.0071192011643 76
"43" 45.4970697941183 95.9440054516867 97.5932354821772 500 58.8619466070765 79
"44" 46.4985152865591 82.4095840377347 95.6617533011774 500 61.7320859659318 80
"45" 62.6434739836939 41.611712557702 43.8692210822202 500 58.6787625887368 83
"46" 64.2713398597406 39.8211374879563 39.3519027793633 500 52.9481127957458 86
"47" 56.9787384331001 57.2406046448195 58.0492527318269 500 48.1083524044254 87
"48" 45.166981899873 100 90.7823894964643 500 33.0575848622217 88
"49" 55.5879425344288 66.1316653288127 67.7051697295067 500 58.3445560718003 90
"50" 50.8151843877565 100 100 314.271189297543 1.10213211079794 91
"51" 65.7998376884651 18.6812961362584 20.5282897795573 500 73.8712119895466 93
"52" 45.3117400732524 100 94.6580972141844 500 35.9618577564575 95
"53" 49.9042254359513 100 100 328.343577340412 1 96
"54" 65.3236950785857 37.9753240669663 37.3491684672808 500 77.6791152145336 97
"55" 50.8655853658629 100 100 474.411381348539 1.69367718597683 98
"56" 60.9185989995365 53.9236641578555 58.4688531327517 500 65.6353713052614 100
"57" 64.0841843979199 36.4433997976149 35.5052619529618 500 55.9074495342529 104
"58" 48.9730585714663 100 100 324.437424565849 8.08272837581191 107
"59" 49.785857615087 100 100 313.415705265159 1 111
"60" 47.3108199049927 87.8257605770466 91.827765635984 500 40.4006434156125 114
"61" 24.4320389515738 100 100 391.656163607628 1 115
"62" 72.0782054908982 30.0242653483992 31.7190921806834 500 47.7799483632605 117
"63" 46.9056130159394 85.0354305733182 91.5832738858714 500 32.1891893375058 118
"64" 54.8132732525788 67.1706850923488 65.6665628780243 500 39.3864896374291 120
"65" 50.0903477268768 100 100 329.72902479875 1 124
"66" 44.1726792810792 100 90.76174031646 500 35.3488141332988 128
"67" 49.4021773181455 100 100 329.339974669096 1 130
"68" 48.0404352693024 100 100 327.785321204797 1 131
"69" 33.9175402080869 100 100 334.964823722712 1 1001
