sID,s
3,0.4450831807081807
6,0.21277369281045752
8,0.24396762717432652
9,0.34402427637721755
13,0.4587153750389044
14,0.4410881574852163
16,0.46752740602413806
17,0.16859170751633987
23,0.5177703643185669
27,0.5006368808207043
28,0.42258422813569874
29,0.3322686914271882
30,0.44346132897603485
32,0.3384004651243213
33,0.25154288567278765
34,0.4484262501296815
36,0.20838114258048898
37,0.3745421694318753
39,0.4726429738562091
40,0.5408285351177508
43,0.17890795206971677
44,0.4409405259017187
47,0.39911044973544973
48,0.4218912101877788
51,0.4785757080610022
54,0.4709546836303372
55,0.4840384332745444
56,0.36519605681778883
58,0.5334613289760348
60,0.31596383116399457
61,0.44693856554967665
62,0.12987792647923366
63,0.34019514239693976
64,0.5919428882664177
65,0.3993881626724764
66,0.4259334441278886
67,0.26697128851540614
68,0.45598959954352114
70,0.314604921978288
71,0.3797706744734931
73,0.43096191254279487
76,0.3175344952795933
79,0.5663357843137256
80,0.49088565981948334
83,0.4416461487253971
86,0.11863940329218108
87,0.41026497588589095
88,0.160415910191237
90,0.30521234265311065
91,0.39884842826019296
93,0.6243899187761525
95,0.5132502723311547
96,0.5358004324711841
97,0.45791666666666664
98,0.5674891067538126
100,0.5205160675381264
104,0.44737206379465366
107,0.22093848341805858
111,0.32895556346945237
114,0.1232281454248366
115,0.23918792362624064
117,0.4611332866479925
118,0.5543361171629145
120,0.3258741397793685
124,0.1761068316215375
128,0.19481784071653352
130,0.42049564270152506
131,0.4320680525296538
