sID,trialNumber,nTotal,true_ratio,given_ratio,seen_ratio,ITI,nMushrooms,nBlue,nRed,estimate,estimateRT,confidence,confidenceRT,traits
10,9,5,0.625,0.775,0.8,2,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",75,1.291595,2,1.93636,Organized Warm
10,10,45,1,0.85,0.844444444,2,"9,9,9,9,9","8,8,8,8,6","1,1,1,1,3",86,0.90378,3,1.81219,Organized Warm
10,11,45,0.5,0.5,0.511111111,1.7,"9,9,9,9,9","6,5,6,3,3","3,4,3,6,6",74,1.3211,2,2.203695,Organized Warm
10,12,25,0.375,0.525,0.52,1.5,"3,1,7,8,6","3,1,2,5,2","0,0,5,3,4",63,1.455505,2,2.71963,Organized Warm
10,13,45,0.875,0.875,0.866666667,2,"9,9,9,9,9","8,8,8,7,8","1,1,1,2,1",89,1.15815,3,1.86114,Organized Warm
10,14,45,0.375,0.525,0.533333333,1.5,"9,9,9,9,9","7,7,3,2,5","2,2,6,7,4",80,1.652335,3,2.32493,Organized Warm
10,15,5,0.375,0.375,0.4,1.9,"1,1,1,1,1","0,1,0,1,0","1,0,1,0,1",74,1.01111,2,2.72697,Organized Warm
10,16,45,0.25,0.4,0.4,1.7,"9,9,9,9,9","3,4,4,4,3","6,5,5,5,6",18,1.07712,3,1.928575,Organized Warm
10,17,5,0.125,0.275,0.2,2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",19,1.241265,3,2.089665,Organized Warm
10,18,45,0.625,0.625,0.622222222,1.7,"9,9,9,9,9","6,5,5,5,7","3,4,4,4,2",80,0.87149,2,2.01532,Organized Warm
10,19,25,0.125,0.125,0.12,1.7,"7,7,1,1,9","0,1,0,0,2","7,6,1,1,7",8,1.212545,3,1.996825,Organized Warm
10,20,25,0.125,0.275,0.28,1.8,"7,7,7,2,2","1,1,3,1,1","6,6,4,1,1",22,1.014,3,1.815045,Organized Warm
10,21,5,0.5,0.35,0.4,1.9,"1,1,1,1,1","1,1,0,0,0","0,0,1,1,1",43,1.003325,2,2.371175,Organized Warm
10,22,25,0.375,0.225,0.24,1.6,"5,8,1,3,8","1,5,0,0,0","4,3,1,3,8",15,0.83866,2,1.88596,Organized Warm
10,23,5,0.625,0.475,0.4,1.7,"1,1,1,1,1","0,0,1,1,0","1,1,0,0,1",70,1.565135,2,2.509555,Organized Warm
10,24,25,0.25,0.1,0.12,1.5,"2,2,7,7,7","0,0,0,2,1","2,2,7,5,6",18,1.17943,2,2.376525,Organized Warm
10,25,5,0.75,0.6,0.6,1.8,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",70,1.388235,2,4.117845,Organized Warm
10,26,5,0,0,0,2,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",57,1.37855,2,2.45632,Organized Warm
10,27,25,1,0.85,0.84,1.6,"8,1,9,2,5","6,0,8,2,5","2,1,1,0,0",87,1.380395,3,2.31357,Organized Warm
10,28,45,0.5,0.35,0.355555556,1.6,"9,9,9,9,9","3,5,2,3,3","6,4,7,6,6",14,0.911975,2,1.681485,Organized Warm
10,29,5,0.375,0.225,0.2,1.5,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",57,1.864815,2,2.65026,Organized Warm
10,30,5,0.5,0.5,0.6,1.7,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",50,1.693445,2,3.23744,Organized Warm
10,31,5,0.125,0.125,0.2,1.8,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",56,1.19786,2,2.081615,Organized Warm
10,32,45,0.75,0.6,0.6,2,"9,9,9,9,9","6,4,5,6,6","3,5,4,3,3",70,1.156845,2,1.90722,Organized Warm
10,33,5,0.875,0.875,0.8,1.9,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",56,1.099315,2,2.371715,Organized Warm
10,34,5,0.375,0.525,0.6,1.8,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",62,0.92754,2,1.939615,Organized Warm
10,35,5,1,1,1,1.9,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",100,1.191525,3,2.40814,Organized Warm
10,36,5,0.875,0.725,0.8,1.9,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",91,1.166245,3,2.10953,Organized Warm
10,37,25,1,1,1,1.9,"1,1,8,8,7","1,1,8,8,7","0,0,0,0,0",93,0.852375,3,1.62586,Organized Warm
10,38,45,0.125,0.125,0.133333333,1.6,"9,9,9,9,9","0,2,2,2,0","9,7,7,7,9",9,0.973355,3,1.936385,Organized Warm
10,39,45,0.25,0.1,0.111111111,2,"9,9,9,9,9","0,1,1,3,0","9,8,8,6,9",11,1.27386,3,2.521355,Organized Warm
10,40,5,1,0.85,0.8,1.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",36,1.26678,2,2.33288,Organized Warm
10,41,45,0.875,1,1,1.7,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",100,5.069395,3,21.71866,Organized Warm
10,42,45,0,0,0,1.5,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",0,2.153875,3,3.2078700000000002,Organized Warm
10,43,45,0.125,0.275,0.266666667,1.7,"9,9,9,9,9","0,3,1,5,3","9,6,8,4,6",12,0.956835,2,1.693435,Organized Warm
10,44,45,0.75,0.9,0.911111111,1.6,"9,9,9,9,9","9,9,8,7,8","0,0,1,2,1",93,1.14804,2,1.994785,Organized Warm
10,45,45,0.75,0.75,0.755555556,1.5,"9,9,9,9,9","7,7,6,7,7","2,2,3,2,2",87,1.747275,3,2.70977,Organized Warm
10,46,5,1,1,1,1.7,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",81,1.221265,2,1.893695,Organized Warm
10,47,45,0.875,0.725,0.733333333,1.5,"9,9,9,9,9","5,8,6,6,8","4,1,3,3,1",61,2.99763,1,4.736515,Organized Warm
10,48,25,0.375,0.375,0.36,1.6,"8,3,7,4,3","3,0,4,1,1","5,3,3,3,2",27,0.86357,2,3.559155,Organized Warm
10,49,5,0.25,0.4,0.4,1.6,"1,1,1,1,1","1,0,0,1,0","0,1,1,0,1",17,1.282825,2,1.98314,Organized Warm
10,50,25,0,0,0,1.8,"4,4,1,9,7","0,0,0,0,0","4,4,1,9,7",1,1.084435,3,2.32149,Organized Warm
10,51,25,0,0,0,1.7,"2,9,5,7,2","0,0,0,0,0","2,9,5,7,2",1,2.517255,3,3.80059,Organized Warm
10,52,5,0.75,0.9,1,1.5,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",82,1.454115,2,2.10596,Organized Warm
10,53,45,0.5,0.65,0.644444444,1.8,"9,9,9,9,9","6,5,5,7,6","3,4,4,2,3",84,1.64575,2,2.52493,Organized Warm
10,54,25,0.75,0.6,0.6,1.5,"9,6,7,2,1","6,5,3,1,0","3,1,4,1,1",50,1.291145,2,2.01182,Organized Warm
10,55,25,0,0.15,0.16,1.6,"1,3,4,9,8","0,0,1,3,0","1,3,3,6,8",24,18.49444,2,20.410365,Organized Warm
10,56,45,0.125,0,0,1.7,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",0,2.579515,3,4.162005,Organized Warm
10,57,5,0,0,0,1.9,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",1,2.028645,3,6.261305,Organized Warm
10,58,45,0,0.15,0.155555556,1.5,"9,9,9,9,9","2,2,1,1,1","7,7,8,8,8",20,4.74874,3,5.99754,Organized Warm
10,59,45,1,1,1,1.5,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",100,2.308085,3,3.410945,Organized Warm
10,60,5,0.125,0,0,1.9,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",0,2.738855,3,3.6833,Organized Warm
10,61,45,0.375,0.225,0.222222222,1.5,"9,9,9,9,9","2,4,3,1,0","7,5,6,8,9",16,3.459885,3,4.4845,Organized Warm
10,62,25,0.875,1,1,1.9,"1,4,3,8,9","1,4,3,8,9","0,0,0,0,0",100,2.762205,3,3.870535,Organized Warm
10,63,25,0.625,0.775,0.76,2,"9,7,5,2,2","6,5,5,2,1","3,2,0,0,1",74,2.030155,2,2.846795,Organized Warm
10,64,5,0.25,0.1,0.2,1.9,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",17,5.24959,2,6.21308,Organized Warm
10,65,25,0.5,0.35,0.36,1.8,"6,1,3,8,7","2,0,1,2,4","4,1,2,6,3",82,1.691925,3,2.764775,Organized Warm
10,66,25,0.25,0.4,0.4,1.9,"3,9,8,3,2","0,4,5,1,0","3,5,3,2,2",62,1.2231,3,2.102215,Organized Warm
10,67,45,0.375,0.375,0.377777778,1.8,"9,9,9,9,9","4,3,4,3,3","5,6,5,6,6",82,1.276625,3,2.428155,Organized Warm
10,68,5,0.25,0.25,0.2,1.5,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",91,2.123385,3,2.9937,Organized Warm
10,69,25,0.75,0.75,0.76,1.9,"9,3,7,3,3","6,3,5,3,2","3,0,2,0,1",83,2.818075,3,5.407825,Organized Warm
10,70,25,0.25,0.25,0.24,1.7,"7,2,8,2,6","0,0,4,1,1","7,2,4,1,5",26,2.372785,3,3.62381,Organized Warm
10,71,25,0.125,0,0,1.9,"9,6,1,7,2","0,0,0,0,0","9,6,1,7,2",0,5.205385,3,6.014535,Organized Warm
10,72,25,0.625,0.475,0.48,1.8,"2,6,6,8,3","0,4,2,4,2","2,2,4,4,1",52,1.85788,2,5.144235,Organized Warm
10,73,25,0.5,0.65,0.64,1.9,"7,1,5,6,6","4,1,4,3,4","3,0,1,3,2",75,2.042205,3,3.25772,Organized Warm
10,74,25,0.75,0.9,0.92,2,"3,5,7,2,8","3,4,7,2,7","0,1,0,0,1",92,1.1599,3,2.14809,Organized Warm
10,75,5,0.875,1,1,1.5,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",100,1.782965,3,2.4596,Organized Warm
10,76,25,0.875,0.725,0.72,1.6,"4,7,3,9,2","3,5,2,7,1","1,2,1,2,1",80,2.097555,3,3.289265,Organized Warm
10,77,45,1,1,1,1.7,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",100,1.572015,3,2.780075,Organized Warm
10,78,25,1,1,1,1.5,"6,5,2,7,5","6,5,2,7,5","0,0,0,0,0",100,1.17558,3,2.55887,Organized Warm
10,79,45,0.25,0.25,0.244444444,1.5,"9,9,9,9,9","2,1,4,3,1","7,8,5,6,8",14,1.3049,2,3.4898,Organized Warm
10,80,5,0.75,0.75,0.8,1.8,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",82,1.392005,3,2.608655,Organized Warm
10,81,45,0.625,0.475,0.466666667,1.6,"9,9,9,9,9","7,4,3,4,3","2,5,6,5,6",50,4.76038,2,6.158125,Organized Warm
11,1,25,0.125,0,0,1.6,"9,8,6,1,1","0,0,0,0,0","9,8,6,1,1",34,3.874605,3,4.906625,Active Energetic
11,2,45,0,0.15,0.155555556,1.5,"9,9,9,9,9","3,1,1,1,1","6,8,8,8,8",15,3.065785,2,3.963995,Active Energetic
11,3,25,0,0.15,0.16,1.6,"6,5,8,2,4","1,2,0,0,1","5,3,8,2,3",40,1.490735,3,3.02345,Active Energetic
11,4,25,1,0.85,0.84,1.7,"2,1,7,6,9","2,1,6,4,8","0,0,1,2,1",66,3.521825,3,4.206825,Active Energetic
11,5,25,0.125,0.125,0.12,1.8,"3,6,6,1,9","1,1,0,0,1","2,5,6,1,8",38,3.34252,2,4.57545,Active Energetic
11,6,45,0.875,0.725,0.733333333,2,"9,9,9,9,9","6,6,7,6,8","3,3,2,3,1",82,2.54227,2,3.880745,Active Energetic
11,7,25,0.25,0.1,0.12,1.7,"4,8,6,2,5","1,0,1,0,1","3,8,5,2,4",23,2.47869,3,3.47452,Active Energetic
11,8,5,0.375,0.375,0.4,1.9,"1,1,1,1,1","0,0,1,1,0","1,1,0,0,1",48,2.0634,2,3.290805,Active Energetic
11,9,45,0.375,0.225,0.222222222,1.5,"9,9,9,9,9","3,1,2,2,2","6,8,7,7,7",31,4.30861,2,5.306795,Active Energetic
11,10,5,0.5,0.35,0.4,2,"1,1,1,1,1","0,1,0,0,1","1,0,1,1,0",53,2.2091,1,5.27379,Active Energetic
11,11,45,0.625,0.625,0.622222222,1.7,"9,9,9,9,9","6,5,5,6,6","3,4,4,3,3",65,3.394575,2,4.45658,Active Energetic
11,12,5,0.625,0.775,0.8,2,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",53,2.573665,1,4.05974,Active Energetic
11,13,5,0.625,0.625,0.6,2,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",47,2.48306,2,3.576795,Active Energetic
11,14,5,0,0,0,1.5,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",52,1.67897,1,6.342305,Active Energetic
11,15,5,0.75,0.75,0.8,1.5,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",31,2.17917,1,3.20732,Active Energetic
11,16,25,0.375,0.525,0.52,1.6,"3,3,7,5,7","2,2,3,2,4","1,1,4,3,3",42,1.90889,2,3.43185,Active Energetic
11,17,25,0.625,0.775,0.76,1.6,"9,6,1,4,5","7,5,1,2,4","2,1,0,2,1",62,1.87645,2,2.69703,Active Energetic
11,18,45,0.25,0.4,0.4,1.6,"9,9,9,9,9","3,4,4,2,5","6,5,5,7,4",45,1.061315,2,2.872675,Active Energetic
11,19,25,0.875,1,1,2,"5,5,7,1,7","5,5,7,1,7","0,0,0,0,0",91,0.87468,2,1.922935,Active Energetic
11,20,5,0.625,0.475,0.4,2,"1,1,1,1,1","0,0,1,1,0","1,1,0,0,1",53,1.49648,2,3.42378,Active Energetic
11,21,5,0.75,0.6,0.6,1.7,"1,1,1,1,1","1,0,0,1,1","0,1,1,0,0",48,0.999395,1,2.40681,Active Energetic
11,22,5,0.875,0.875,0.8,1.8,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",59,1.223635,1,2.604165,Active Energetic
11,23,45,0.625,0.475,0.466666667,1.9,"9,9,9,9,9","2,4,5,6,4","7,5,4,3,5",62,1.125165,3,2.728775,Active Energetic
11,24,25,0.125,0.275,0.28,1.6,"1,4,2,9,9","0,1,0,1,5","1,3,2,8,4",24,1.941045,3,2.82275,Active Energetic
11,25,5,1,1,1,1.5,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",69,0.98198,1,1.9661,Active Energetic
11,26,5,0.375,0.225,0.2,2,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",41,1.07728,2,2.14077,Active Energetic
11,27,45,0.875,1,1,1.9,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",98,0.93008,3,1.982845,Active Energetic
11,28,5,0.5,0.65,0.6,1.8,"1,1,1,1,1","0,1,1,1,0","1,0,0,0,1",33,2.14963,2,3.056565,Active Energetic
11,29,5,0.25,0.1,0.2,1.5,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",40,0.778045,1,1.508445,Active Energetic
11,30,25,0.5,0.65,0.64,1.8,"1,2,5,9,8","1,2,5,4,4","0,0,0,5,4",65,0.948495,1,1.840645,Active Energetic
11,31,25,0,0,0,1.9,"7,4,4,7,3","0,0,0,0,0","7,4,4,7,3",11,1.048195,3,3.781435,Active Energetic
11,32,45,0.875,0.875,0.866666667,1.6,"9,9,9,9,9","8,9,9,7,6","1,0,0,2,3",90,2.058385,3,3.427455,Active Energetic
11,33,45,0,0,0,1.9,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",4,1.2673,3,2.824145,Active Energetic
11,34,5,1,1,1,1.6,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",61,1.52366,1,2.67328,Active Energetic
11,35,25,1,1,1,1.9,"6,2,7,5,5","6,2,7,5,5","0,0,0,0,0",86,0.965235,3,2.21938,Active Energetic
11,36,5,0.875,0.725,0.8,1.5,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",70,1.040035,1,1.82423,Active Energetic
11,37,45,0.25,0.25,0.244444444,1.5,"9,9,9,9,9","2,3,1,1,4","7,6,8,8,5",33,2.143365,3,3.85958,Active Energetic
11,38,5,0.125,0,0,1.9,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",48,1.064555,2,2.099005,Active Energetic
11,39,5,0.375,0.525,0.6,1.9,"1,1,1,1,1","0,0,1,1,1","1,1,0,0,0",46,1.80722,2,2.606395,Active Energetic
11,40,45,0.25,0.1,0.111111111,1.8,"9,9,9,9,9","0,1,1,2,1","9,8,8,7,8",23,1.90789,2,3.74036,Active Energetic
11,41,5,0.75,0.9,1,1.7,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",56,0.867955,2,2.250015,Active Energetic
11,42,5,1,0.85,0.8,2,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",59,1.46154,2,2.273615,Active Energetic
11,43,25,0.375,0.375,0.36,2,"5,5,9,4,2","0,2,4,1,2","5,3,5,3,0",44,3.92476,3,5.607305,Active Energetic
11,44,5,0,0,0,1.5,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",35,2.024225,1,59.90892,Active Energetic
11,45,25,0.75,0.9,0.92,1.5,"5,4,6,5,5","5,3,5,5,5","0,1,1,0,0",83,1.25806,3,2.30796,Active Energetic
11,46,25,0.25,0.25,0.24,1.5,"9,8,4,3,1","1,4,0,1,0","8,4,4,2,1",34,1.464835,1,3.64499,Active Energetic
11,47,25,0.75,0.75,0.76,1.9,"2,5,7,6,5","2,4,3,5,5","0,1,4,1,0",80,2.442495,3,4.17352,Active Energetic
11,48,45,0.125,0,0,1.9,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",2,1.349475,3,2.709295,Active Energetic
11,49,45,0.125,0.125,0.133333333,1.7,"9,9,9,9,9","1,1,1,3,0","8,8,8,6,9",10,1.57635,3,2.948255,Active Energetic
11,50,25,0.5,0.35,0.36,1.5,"9,1,3,8,4","3,0,1,3,2","6,1,2,5,2",40,0.97263,2,2.74137,Active Energetic
11,51,25,0.75,0.6,0.6,1.6,"9,6,7,2,1","7,3,4,1,0","2,3,3,1,1",57,1.556145,2,2.42419,Active Energetic
11,52,5,0.25,0.25,0.2,1.5,"1,1,1,1,1","0,1,0,0,0","1,0,1,1,1",41,1.12457,2,2.09028,Active Energetic
11,53,25,0.875,0.875,0.88,1.6,"1,3,6,7,8","1,3,6,7,5","0,0,0,0,3",81,1.894865,3,11.841355,Active Energetic
11,54,45,1,1,1,1.5,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",86,1.468195,3,2.6675,Active Energetic
11,55,25,0,0,0,1.7,"6,6,3,7,3","0,0,0,0,0","6,6,3,7,3",23,1.590405,2,2.52338,Active Energetic
11,56,45,0.75,0.6,0.6,1.8,"9,9,9,9,9","7,6,5,5,4","2,3,4,4,5",57,0.94495,2,1.709025,Active Energetic
11,57,5,0.5,0.5,0.6,1.5,"1,1,1,1,1","1,1,1,0,0","0,0,0,1,1",53,1.6412,2,2.623925,Active Energetic
11,58,45,0.5,0.5,0.511111111,1.5,"9,9,9,9,9","5,3,6,5,4","4,6,3,4,5",58,1.840265,2,2.70784,Active Energetic
11,59,5,0.125,0.125,0.2,1.8,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",55,0.908635,1,3.59526,Active Energetic
11,60,25,0.625,0.475,0.48,1.8,"3,5,1,7,9","2,3,0,3,4","1,2,1,4,5",57,0.877575,1,1.69533,Active Energetic
11,61,45,0.75,0.75,0.755555556,1.7,"9,9,9,9,9","9,5,7,7,6","0,4,2,2,3",79,1.557085,2,4.839935,Active Energetic
11,62,5,0,0.15,0.2,1.8,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",40,1.524895,2,2.33943,Active Energetic
11,63,45,0.625,0.775,0.777777778,2,"9,9,9,9,9","7,7,7,8,6","2,2,2,1,3",79,1.039495,2,1.87854,Active Energetic
11,64,25,0.375,0.225,0.24,1.9,"4,9,1,3,8","2,2,0,2,0","2,7,1,1,8",30,1.800445,2,3.09992,Active Energetic
11,65,45,0.375,0.525,0.533333333,1.7,"9,9,9,9,9","7,6,5,3,3","2,3,4,6,6",45,1.177695,2,2.16093,Active Energetic
11,66,45,0.5,0.35,0.355555556,1.7,"9,9,9,9,9","3,4,2,4,3","6,5,7,5,6",39,1.306695,3,2.92368,Active Energetic
11,67,45,1,0.85,0.844444444,1.7,"9,9,9,9,9","9,6,7,8,8","0,3,2,1,1",84,1.57425,2,2.44012,Active Energetic
11,68,5,0.125,0.275,0.2,2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",43,2.04117,1,3.35728,Active Energetic
11,69,45,0.375,0.375,0.377777778,1.9,"9,9,9,9,9","2,2,4,4,5","7,7,5,5,4",44,1.858205,3,3.242885,Active Energetic
11,70,25,0.5,0.5,0.52,1.5,"9,8,2,2,4","6,3,0,1,3","3,5,2,1,1",51,1.511235,1,2.940025,Active Energetic
11,71,45,1,1,1,2,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",91,2.71224,3,3.54318,Active Energetic
11,72,25,0.625,0.625,0.64,1.8,"7,6,9,2,1","5,4,5,1,1","2,2,4,1,0",54,2.011925,1,3.79367,Active Energetic
11,73,25,0.875,0.725,0.72,2,"4,4,7,5,5","3,2,6,4,3","1,2,1,1,2",56,1.21296,3,2.34741,Active Energetic
11,74,5,0.25,0.4,0.4,2,"1,1,1,1,1","0,0,1,1,0","1,1,0,0,1",58,1.255555,2,2.125145,Active Energetic
11,75,45,0.75,0.9,0.911111111,1.9,"9,9,9,9,9","9,8,9,7,8","0,1,0,2,1",92,2.073275,3,3.174485,Active Energetic
11,76,45,0,0,0,1.8,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",9,1.46188,2,2.75958,Active Energetic
11,77,25,1,1,1,1.9,"2,6,6,9,2","2,6,6,9,2","0,0,0,0,0",81,1.206105,2,2.258945,Active Energetic
11,78,45,0.125,0.275,0.266666667,1.5,"9,9,9,9,9","2,1,3,2,4","7,8,6,7,5",38,1.17878,3,2.139955,Active Energetic
11,79,5,0.875,1,1,1.7,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",70,3.43207,1,4.273935,Active Energetic
11,80,45,0.5,0.65,0.644444444,1.9,"9,9,9,9,9","6,4,6,8,5","3,5,3,1,4",60,1.060245,2,2.556335,Active Energetic
11,81,25,0.25,0.4,0.4,1.5,"2,7,1,9,6","1,1,1,5,2","1,6,0,4,4",55,1.08949,2,1.972105,Active Energetic
12,1,45,1,0.85,0.844444444,1.7,"9,9,9,9,9","9,7,7,8,7","0,2,2,1,2",77,1.532355,2,2.665055,Warm Imaginative
12,2,25,0.25,0.1,0.12,1.9,"8,9,5,2,1","1,2,0,0,0","7,7,5,2,1",21,2.505515,2,3.41692,Warm Imaginative
12,3,45,0.25,0.25,0.244444444,1.6,"9,9,9,9,9","1,1,3,4,2","8,8,6,5,7",29,2.88124,2,3.895275,Warm Imaginative
12,4,25,0.5,0.35,0.36,1.8,"1,1,6,8,9","0,0,1,4,4","1,1,5,4,5",23,3.94182,2,4.871665,Warm Imaginative
12,5,45,0.25,0.4,0.4,1.8,"9,9,9,9,9","4,3,3,3,5","5,6,6,6,4",24,2.55279,2,7.5521,Warm Imaginative
12,6,45,0.375,0.225,0.222222222,1.6,"9,9,9,9,9","2,2,3,3,0","7,7,6,6,9",12,2.13761,2,3.115255,Warm Imaginative
12,7,25,0.375,0.375,0.36,1.5,"7,2,2,5,9","2,0,1,4,2","5,2,1,1,7",69,4.46899,2,5.51363,Warm Imaginative
12,8,45,0.875,1,1,1.6,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",78,1.359895,2,2.264845,Warm Imaginative
12,9,25,0.375,0.525,0.52,1.7,"9,2,3,2,9","4,1,3,0,5","5,1,0,2,4",72,1.061145,2,1.75569,Warm Imaginative
12,10,5,1,1,1,1.9,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",85,1.730915,2,2.46078,Warm Imaginative
12,11,25,0.5,0.5,0.52,1.5,"1,7,3,7,7","0,6,1,4,2","1,1,2,3,5",27,3.707145,2,2.005645,Warm Imaginative
12,12,5,0.5,0.5,0.6,1.5,"1,1,1,1,1","1,1,0,1,0","0,0,1,0,1",27,0.675415,2,1.3948,Warm Imaginative
12,13,25,0.25,0.25,0.24,1.7,"4,2,8,9,2","1,0,1,3,1","3,2,7,6,1",63,2.381725,2,1.41393,Warm Imaginative
12,14,5,0,0.15,0.2,2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",28,0.93294,2,1.781025,Warm Imaginative
12,15,5,1,1,1,1.9,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",23,3.733975,2,4.34286,Warm Imaginative
12,16,45,0,0.15,0.155555556,1.6,"9,9,9,9,9","3,0,0,2,2","6,9,9,7,7",12,1.376715,2,2.11904,Warm Imaginative
12,17,45,1,1,1,1.9,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",85,2.28141,2,3.62181,Warm Imaginative
12,18,5,0.25,0.25,0.2,2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",71,1.10945,2,2.3237,Warm Imaginative
12,19,5,0.125,0.275,0.2,1.8,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",73,1.88453,2,2.72524,Warm Imaginative
12,20,25,0.75,0.75,0.76,1.7,"8,7,6,2,2","5,5,5,2,2","3,2,1,0,0",60,1.76285,2,2.57351,Warm Imaginative
12,21,5,0,0,0,1.6,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",69,0.971895,2,1.54918,Warm Imaginative
12,22,25,0.25,0.4,0.4,1.9,"9,5,4,1,6","2,2,2,0,4","7,3,2,1,2",40,1.91804,2,2.56421,Warm Imaginative
12,23,5,0.875,1,1,1.7,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",63,1.881115,1,2.923555,Warm Imaginative
12,24,25,0.125,0.125,0.12,1.9,"3,8,5,6,3","0,2,0,0,1","3,6,5,6,2",20,1.69784,2,2.52691,Warm Imaginative
12,25,45,1,1,1,1.8,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",85,1.894455,3,2.7162,Warm Imaginative
12,26,45,0.75,0.6,0.6,1.5,"9,9,9,9,9","4,5,5,7,6","5,4,4,2,3",73,0.76914,2,1.498585,Warm Imaginative
12,27,45,0.375,0.525,0.533333333,1.5,"9,9,9,9,9","2,5,5,4,8","7,4,4,5,1",25,1.121395,2,1.929435,Warm Imaginative
12,28,25,0.625,0.775,0.76,1.8,"7,2,5,9,2","6,2,3,7,1","1,0,2,2,1",74,0.90228,2,1.658365,Warm Imaginative
12,29,5,0.75,0.9,1,1.8,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",64,3.265015,2,4.0695,Warm Imaginative
12,30,25,0.625,0.625,0.64,1.6,"8,7,6,1,3","5,4,4,1,2","3,3,2,0,1",27,2.098065,2,2.79092,Warm Imaginative
12,31,25,0.125,0.275,0.28,1.5,"6,8,2,3,6","1,4,0,0,2","5,4,2,3,4",20,1.13241,2,1.84268,Warm Imaginative
12,32,25,0.5,0.65,0.64,1.9,"9,7,3,2,4","6,4,2,1,3","3,3,1,1,1",61,0.90528,2,1.688555,Warm Imaginative
12,33,5,0.25,0.1,0.2,1.9,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",31,1.02121,2,1.696545,Warm Imaginative
12,34,45,0.125,0.275,0.266666667,1.9,"9,9,9,9,9","5,2,3,1,1","4,7,6,8,8",13,2.10398,3,3.474805,Warm Imaginative
12,35,45,0.625,0.775,0.777777778,1.6,"9,9,9,9,9","7,7,7,7,7","2,2,2,2,2",78,0.68979,2,1.63074,Warm Imaginative
12,36,45,0.5,0.35,0.355555556,1.7,"9,9,9,9,9","4,3,3,4,2","5,6,6,5,7",31,1.90657,2,2.827385,Warm Imaginative
