sID,nTotal,true_ratio,estimate
10,45,0.5,50
10,25,0.125,9
10,25,0.75,57
10,5,0.625,90
10,25,0.375,55
10,45,0.625,68
10,5,0.875,89
10,25,1,95
10,45,0,0
10,45,0.375,24
10,45,0.125,0
10,45,0.75,91
10,45,0.375,57
10,5,1,100
10,45,0.75,92
10,25,0.625,45
10,25,0.25,35
10,45,0.25,17
10,5,0.25,10
10,25,0.25,8
10,45,0.875,100
10,45,1,100
10,25,0.625,92
10,25,0.125,10
10,45,0.125,17
10,45,0.625,51
10,5,0.5,40
10,45,0,15
10,25,0,0
10,45,0,0
10,5,0.625,60
10,5,0.75,60
10,25,1,100
10,25,0.75,55
10,5,0.125,0
10,25,0.625,68
10,5,0.375,60
10,25,0.875,100
10,25,0.25,36
10,5,0.625,40
10,25,0.5,51
10,5,0.5,60
10,25,0.875,76
10,45,0.125,14
10,5,0.75,100
10,5,0,10
10,45,1,86
10,25,0,0
10,5,0.25,40
11,5,0,20
11,5,0.125,5
11,25,0.625,41
11,45,0.625,65
11,45,0,3
11,5,0.625,28
11,45,0.75,50
11,25,1,98
11,5,0.125,20
11,25,0.625,50
11,5,0.625,78
11,5,0.25,36
11,25,0.5,62
11,5,0.375,62
11,45,1,81
11,25,0.25,45
11,5,0.75,50
11,5,0.625,63
11,45,1,100
11,25,0.125,13
11,5,0,8
11,5,0.75,68
11,25,0.875,82
11,5,0.25,34
11,5,0.875,60
11,45,0.5,43
11,5,1,59
11,45,0.875,92
11,25,0.375,51
11,5,1,45
11,45,0.25,21
11,25,0.75,29
11,25,0.625,75
11,25,0.25,11
11,5,0.375,31
11,5,0,32
11,25,0,24
11,45,0.75,96
11,45,1,98
11,45,0.125,17
11,45,0.625,50
11,5,0.125,22
11,5,0.375,22
11,45,0.25,31
11,25,0,10
11,25,0.5,30
11,5,0.875,74
11,25,0.25,16
11,45,0.875,99
11,5,0.75,78
11,45,0.5,64
11,45,0.375,58
11,45,0,20
11,45,0.125,19
11,45,0.25,10
11,5,0.5,16
11,25,0.75,92
11,25,0.875,74
11,45,0.625,79
11,45,0.375,44
11,5,0.875,43
11,25,0.875,80
11,25,0.75,79
11,25,0.375,24
11,5,0.5,39
11,25,0.5,53
11,25,1,68
11,5,0.25,53
11,45,0.75,81
11,45,0,15
11,45,0.125,5
11,45,0.875,71
11,25,0,22
11,25,0.375,37
11,45,0.375,13
11,5,1,7
11,25,0.125,10
11,25,0.125,8
11,45,0.5,85
11,25,1,82
11,5,0.5,25
12,45,0.875,90
12,45,1,100
12,45,0.5,60
12,45,0,0
12,25,0.125,9
12,25,0.625,51
12,25,0.25,42
12,5,0.875,95
12,45,0.875,85
12,45,0.25,25
12,45,0.625,61
12,5,0.25,20
12,5,0.875,80
12,5,0.75,60
12,45,0,15
12,45,0.5,47
12,25,0,0
12,5,0.25,10
12,25,0.5,65
12,25,1,100
12,45,0.375,21
12,5,1,95
12,5,0.625,65
12,5,0.75,85
12,25,0.875,100
12,45,0.75,100
12,25,0.875,96
12,25,0.75,99
12,25,0.25,5
12,45,0.625,69
12,45,0.625,52
12,45,1,100
12,5,0,15
12,45,0.25,35
12,5,0.5,57
12,45,0.875,100
12,25,0.375,24
12,45,0.5,59
12,45,0.375,55
12,5,1,100
12,5,0.375,75
12,25,0.125,0
12,5,0.5,60
12,25,0,11
12,25,0.25,34
12,25,1,67
12,45,0.125,0
12,25,0.625,32
12,5,0.125,58
12,45,0.125,15
12,45,0.375,37
12,5,0.75,97
12,25,0.375,85
12,45,0.125,63
12,45,0.25,45
12,45,0,0
12,5,0,21
12,45,1,90
12,5,0.125,20
12,25,0,19
12,25,0.125,20
12,5,0.625,33
12,25,0.5,17
12,45,0.75,80
12,25,0.75,63
12,5,0.25,18
12,5,0.625,61
12,25,0.75,72
12,45,0.75,60
12,25,1,99
12,25,0.875,82
12,5,0.375,40
12,5,1,79
12,5,0.125,31
12,25,0.5,58
12,5,0.875,79
12,25,0.375,57
12,5,0,37
12,25,0.625,83
12,5,0.375,50
12,5,0.5,45
13,25,0.625,71
13,25,0,0
13,45,0.25,40
13,25,0.625,75
13,25,0,28
13,25,0.375,60
13,45,1,100
13,45,0.5,56
13,25,0.25,64
13,5,0.375,76
13,25,0.875,100
13,5,0,18
13,45,0,20
13,5,0.25,30
13,45,1,87
13,25,0.625,87
13,25,0.875,87
13,5,0,0
13,25,1,100
13,25,0.125,68
13,45,0.375,18
13,45,0.125,29
13,5,0.125,0
13,45,0.125,0
13,25,0.125,7
13,25,0.75,78
13,45,0.75,82
13,25,0.5,85
13,5,0.5,40
13,45,0.375,71
13,45,0.875,71
13,5,0.875,71
13,5,0,2
13,5,1,15
13,45,0.625,66
13,45,0.75,75
13,45,0.625,81
13,45,0.5,81
13,5,0.25,33
13,5,0.75,64
13,5,0.625,40
13,5,0.25,39
13,5,0.875,65
13,25,1,100
13,45,0.25,10
13,5,0.875,69
13,5,0.5,50
13,5,0.75,99
13,45,0.125,0
13,25,0.125,0
13,5,1,100
13,45,0.375,65
13,25,0.875,76
13,25,0.375,33
13,5,0.625,76
13,25,1,76
13,5,0.375,41
13,5,0.5,86
13,45,0.25,43
13,45,1,100
13,5,0.125,64
13,45,0.75,64
13,5,0.625,86
13,5,0.125,31
13,45,0.5,73
13,25,0.5,24
13,45,0.875,79
13,25,0,79
13,5,0.375,55
13,45,0.625,73
13,5,0.75,71
13,25,0.5,71
13,45,0,1
13,25,0.75,69
13,45,0.875,100
13,45,0,35
13,25,0.25,0
13,25,0.25,73
13,25,0.75,86
13,5,1,67
13,25,0.375,5
14,5,0.75,100
14,25,0.5,12
14,45,0.5,16
14,45,0.875,60
14,5,0.875,4
14,45,0.375,15
14,25,0.875,22
14,45,0.125,9
14,25,0,7
14,25,0.75,8
14,5,0.125,11
14,45,0,0
14,25,0.25,10
14,5,0.375,3
14,25,0,0
14,45,0.5,19
14,45,0.25,11
14,25,0.625,16
14,5,0.625,4
14,5,0,0
14,45,0.125,0
14,5,0.625,3
14,5,0.5,3
14,45,0.25,5
14,5,0.375,2
14,45,0,7
14,25,0.375,9
14,45,0,0
14,5,0.25,1
14,5,1,4
14,25,1,25
14,45,0.125,12
14,45,0.625,36
14,5,0,1
14,5,0.75,3
14,5,0.125,1
14,5,0.5,2
14,45,0.375,24
14,45,0.375,10
14,5,1,5
14,5,0.875,5
14,25,0.375,13
14,5,0.875,4
14,45,0.75,40
14,25,0.5,9
14,25,1,26
14,25,0.125,0
14,45,0.75,39
14,5,0.625,0
14,5,0.25,0
14,45,0.625,9
14,25,0.625,12
14,25,0.375,6
14,45,0.875,34
14,45,1,49
14,25,1,18
14,5,0.25,4
14,25,0.125,5
14,5,1,5
14,25,0.75,41
14,45,1,46
14,45,0.25,51
14,5,0.5,3
14,45,0.75,23
14,25,0.5,10
14,5,0.375,1
14,45,0.625,30
14,25,0.875,21
14,45,0.5,35
14,5,0.125,0
14,5,0.75,4
14,45,0.875,28
14,25,0.625,19
14,5,0,0
14,25,0.125,3
14,45,1,30
14,25,0.875,27
14,25,0,0
14,25,0.25,3
14,25,0.75,5
14,25,0.25,6
15,25,0.625,75
15,25,0.125,0
15,45,0.75,55
15,45,0,20
15,5,0,10
15,45,0.125,30
15,5,0.5,60
15,25,0.375,50
15,25,0.875,60
15,5,0.375,40
15,45,0.625,50
15,25,0,30
15,5,0.125,20
15,5,0.875,80
15,25,0.25,30
15,45,0.125,40
15,5,0.125,5
15,5,0.875,80
15,25,0,0
15,45,0,35
15,25,0.875,100
15,45,0.25,40
15,5,0.125,14
15,5,0.75,80
15,45,0.5,44
15,25,0.625,60
15,45,0.875,100
15,5,0.75,70
15,45,1,100
15,5,0.25,60
15,5,0.5,68
15,25,0,10
15,25,0.5,69
15,5,0.375,50
15,5,0.5,60
15,5,0.375,20
15,25,1,100
15,5,1,100
15,5,0,15
15,25,0.75,40
15,45,0.125,0
15,45,1,100
15,45,0,0
15,45,0.875,70
15,25,0.375,25
15,25,1,100
15,45,0.375,30
15,5,1,60
15,45,0.875,80
15,45,0.375,45
15,25,0.125,39
15,45,0.25,33
15,25,1,74
15,45,1,67
15,5,0.875,100
15,5,1,100
15,25,0.5,80
15,5,0.25,19
15,45,0.5,50
15,25,0.125,20
15,5,0.25,24
15,25,0.75,40
15,45,0.75,70
15,25,0.5,51
15,5,0.75,100
15,25,0.875,80
15,25,0.375,40
15,25,0.25,26
15,45,0.625,66
15,25,0.75,80
15,5,0,0
15,45,0.625,75
15,45,0.375,70
15,25,0.25,40
15,5,0.625,30
15,45,0.25,40
15,45,0.75,81
15,5,0.625,96
15,45,0.5,80
15,25,0.625,71
15,5,0.625,41
16,5,0,0
16,45,0.875,41
16,45,0.25,11
16,25,0.125,7
16,5,0.25,1
16,45,0,0
16,5,1,6
16,25,0,0
16,25,0.875,32
16,5,1,5
16,5,0.375,2
16,25,0.875,25
16,45,0.375,23
16,45,0.875,31
16,25,0.5,15
16,45,0,7
16,5,0.75,5
16,25,0.5,13
16,5,0.125,0
16,45,0.125,12
16,5,0.625,2
16,45,0.875,40
16,45,0.75,23
16,5,0.25,1
16,25,0.25,10
16,45,0.625,25
16,5,0,0
16,25,0.125,3
16,5,0.875,5
16,25,0.375,11
16,25,0.75,21
16,25,0.5,10
16,5,0.625,4
16,5,0.375,1
16,45,0.25,5
16,5,0.75,4
16,5,0.875,4
16,45,0.625,32
16,25,0.125,0
16,5,0.625,3
16,45,0.5,25
16,5,0.125,1
16,25,0.75,16
16,5,0.125,1
16,45,0.375,14
16,25,0.875,16
16,25,0.75,15
16,5,0.375,3
16,45,0.5,22
16,5,0.5,3
16,45,0.125,0
16,45,1,28
16,5,0.5,3
16,45,0.125,6
16,5,1,3
16,25,0.25,6
16,25,0,0
16,45,0.375,11
16,25,0.625,18
16,25,0.375,13
16,25,1,26
16,45,0,0
16,45,0.25,16
16,45,0.75,22
16,45,0.625,20
16,25,0.625,13
16,25,0.625,19
16,5,0.75,3
16,25,0,4
16,45,1,32
16,45,1,35
16,25,1,21
16,5,0.875,4
16,45,0.5,15
16,5,0,1
16,5,0.25,2
16,25,0.375,6
16,45,0.75,31
16,5,0.5,2
16,25,1,17
16,25,0.25,3
17,25,0.125,93
17,5,0.25,75
17,5,0.25,40
17,5,0.5,60
17,5,1,100
17,25,0.625,72
17,25,0.625,80
17,25,0.25,20
17,45,1,90
17,25,0.125,10
17,5,0.375,20
17,5,0.375,60
17,45,0.625,80
17,45,0.375,35
17,25,0.375,60
17,5,0,80
17,5,0.875,80
17,5,0.125,0
17,45,0.625,40
17,5,0.5,40
17,45,0.125,20
17,5,0.625,60
17,25,0.375,15
17,5,0,0
17,25,0.75,90
17,5,0.25,20
17,45,0.75,80
17,5,1,80
17,45,0,0
17,45,0.125,10
17,45,0.875,100
17,25,0.375,25
17,5,0.75,90
17,5,0.625,40
17,5,1,80
17,25,1,74
17,5,0.375,60
17,5,0.75,80
17,5,0.625,70
17,45,0.5,44
17,45,0.375,35
17,45,0.5,58
17,45,1,97
17,5,0.125,40
17,45,0.5,61
17,25,0.625,67
17,25,0.75,39
17,45,0.25,15
17,45,0.75,35
17,25,0.5,66
17,45,0.75,87
17,5,0.5,65
17,5,0.875,84
17,45,0.375,80
17,45,0,27
17,5,0.875,83
17,5,0.75,61
17,25,0.875,95
17,45,0.25,69
17,25,0.75,80
17,45,0.875,80
17,25,0.5,70
17,45,0,10
17,25,0.875,90
17,25,0.125,44
17,45,1,100
17,25,0,2
17,45,0.25,12
17,45,0.875,90
17,25,0.25,11
17,25,1,98
17,5,0,81
17,45,0.125,8
17,25,0,8
17,25,0.25,20
17,25,0.875,59
17,25,0,14
17,45,0.625,47
17,25,0.5,39
17,25,1,93
17,5,0.125,10
18,5,0,25
18,5,0.25,32
18,25,0.875,78
18,5,1,83
18,5,0.375,11
18,25,0.125,20
18,25,0.25,37
18,5,0.375,58
18,25,0.625,64
18,45,0.5,23
18,25,0.375,37
18,25,0.25,19
18,45,0.125,22
18,5,0.625,50
18,45,0.5,70
18,5,0.125,33
18,5,0.875,67
18,45,0.25,21
18,5,0.625,65
18,25,0.5,27
18,45,0,30
18,5,0.25,21
18,25,0.5,72
18,25,0.625,29
18,25,0.125,83
18,25,0,19
18,45,0.625,80
18,5,0.125,71
18,5,0.5,85
18,25,0.875,75
18,25,0.5,31
18,45,0.25,19
18,5,0.875,22
18,5,1,22
18,5,0.75,75
18,25,1,73
18,25,0.375,21
18,45,0.375,24
18,45,0.875,75
18,5,0.125,23
18,45,0.625,21
18,25,1,77
18,5,0.375,21
18,45,0.75,72
18,45,0.875,20
18,25,0,69
18,45,0.625,22
18,25,0.875,73
18,5,0.5,16
18,25,0.75,16
18,45,0.75,16
18,25,0.625,75
18,45,0.125,22
18,5,0.875,70
18,45,0.125,8
18,45,1,75
18,25,0.125,63
18,45,1,17
18,45,1,71
18,45,0.375,29
18,25,0.375,25
18,25,0.75,32
18,5,0,74
18,45,0.375,24
18,5,0.75,35
18,45,0.5,81
18,45,0.25,73
18,25,0.25,20
18,25,0,73
18,45,0,15
18,45,0.875,27
18,5,0.75,69
18,5,1,76
18,5,0.625,13
18,45,0,2
18,5,0.5,73
18,5,0.25,25
18,5,0,34
18,45,0.75,88
18,25,0.75,83
18,25,1,31
19,45,0.75,87
19,25,0.375,32
19,5,0.75,80
19,25,0.25,52
