sID,trialNumber,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,s,strategy,sex,age,trial_filter
1,44,5,0.375,0,2,0.4,"1,1,1,1,1","0,1,0,1,0","1,0,1,0,1",40,1.785,30,7.61,22,3,0.5555555555555556,compromise,Male,24,1
1,47,5,0.625,0,2,0.6,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",60,1.841,65,4.185,77,1,0.29411764705882354,compromise,Male,24,1
1,51,45,0.25,0,1.9,0.244444444,"9,9,9,9,9","3,2,1,2,3","6,7,8,7,6",15,6.117,22,3.617,30,2,0.4666666666666667,compromise,Male,24,1
1,53,45,0.125,0,1.6,0.133333333,"9,9,9,9,9","2,0,1,1,2","7,9,8,8,7",5,2.202,10,4.268,21,2,0.3125,compromise,Male,24,1
1,54,5,0.5,0,1.5,0.6,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",60,3.423,52,4.887,45,1,0.5333333333333333,compromise,Male,24,1
2,1,45,0.375,0,1.6,0.377777778,"9,9,9,9,9","3,5,3,3,3","6,4,6,6,6",35,2.5139,35,3.6965,51,1,0,stay,Male,32,1
2,3,45,0.5,0,1.9,0.511111111,"9,9,9,9,9","6,4,3,4,6","3,5,6,5,3",55,2.3341,45,4.8549,37,2,0.5555555555555556,compromise,Male,32,1
2,4,45,0.875,0,1.7,0.866666667,"9,9,9,9,9","6,8,8,9,8","3,1,1,0,1",90,4.0297,85,6.1063,73,3,0.29411764705882354,compromise,Male,32,1
2,6,45,0.875,0,1.8,0.866666667,"9,9,9,9,9","9,6,9,8,7","0,3,0,1,2",90,1.8481,90,2.5596,74,1,-0,stay,Male,32,1
2,8,45,0.25,0,1.7,0.244444444,"9,9,9,9,9","2,3,5,1,0","7,6,4,8,9",25,2.9975,20,4.5411,9,2,0.3125,compromise,Male,32,1
2,9,5,0.125,0,1.8,0.2,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",20,3.4801,15,3.6256,3,2,0.29411764705882354,compromise,Male,32,1
2,11,45,0.375,0,1.6,0.377777778,"9,9,9,9,9","3,2,4,6,2","6,7,5,3,7",37,4.6124,35,3.0806,21,2,0.125,compromise,Male,32,1
2,12,45,0.875,0,2,0.866666667,"9,9,9,9,9","6,8,8,9,8","3,1,1,0,1",85,1.7339,85,4.6439,100,2,0,stay,Male,32,1
2,13,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",80,3.0512,80,3.9272,95,2,0,stay,Male,32,1
2,15,5,0.625,0,1.5,0.6,"1,1,1,1,1","0,0,1,1,1","1,1,0,0,0",60,3.7963,70,3.0086,78,2,0.5555555555555556,compromise,Male,32,1
2,16,5,0.625,0,1.7,0.6,"1,1,1,1,1","1,0,0,1,1","0,1,1,0,0",70,4.8959,70,4.5458,53,1,-0,stay,Male,32,1
2,17,5,0.5,0,1.6,0.6,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",60,4.8445,55,4.3747,45,2,0.3333333333333333,compromise,Male,32,1
2,18,5,0.375,0,1.8,0.4,"1,1,1,1,1","0,1,1,0,0","1,0,0,1,1",40,4.4128,35,3.1423,25,2,0.3333333333333333,compromise,Male,32,1
2,19,5,0.75,0,1.8,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",80,2.8474,80,3.3747,65,1,-0,stay,Male,32,1
2,20,5,0.375,0,1.7,0.4,"1,1,1,1,1","0,1,1,0,0","1,0,0,1,1",40,4.8291,35,3.8297,25,3,0.3333333333333333,compromise,Male,32,1
